id	quantity	definition	truth_source_or_none	identifiable	reason	allowable_claim	prohibited_phrasing	unit	denominator
E01	homology mapping reproducibility	fraction of reference sequences on which the frozen instrument reproduces the same coordinate assignment when re-run, and under resampling of the derivation panel	the instrument under resampling	ESTABLISHABLE	a rerun and a derivation-panel bootstrap are both fully defined operations with no external truth requirement. This is the Stage 2B analogue of g2's cross-frame comparison, which already has a landed precedent at median Jaccard 0.955	mapping reproducibility, with the resampling scheme named	must not be called accuracy or validation	sequence	sequences in the declared panel
E02	landmark recovery - catalytic dyad	residue offset between the observed catalytic [YF]xDD and the coordinate the instrument assigns to it	the query sequence's own residues	ESTABLISHABLE	the only landmark whose position on an arbitrary RT is fixed by the residues rather than by a model. Two constraints carry over from the failed round-2 design and are binding: the motif and a declared window must be MASKED from derivation, features and thresholds; and the denominator must be motif-positive sequences only, because 56 of 66 historical proteins and an unmeasured fraction of any broad panel carry no literal match, while 4 of 66 carry two	landmark localization offset on motif-positive sequences, with multiplicity reported	must not be called boundary accuracy; must not use an all-sequences denominator	residues	motif-positive sequences in the arm
E03	coordinate stability	dispersion of assigned coordinates across a declared perturbation ensemble - derivation-panel resampling, alignment method, profile parameters, and the family composition of the panel	the ensemble	ESTABLISHABLE	well defined and computable. The Stage 2B ensemble MUST vary panel family composition, which is the axis the round-2 design omitted and the reviewer named as a blocker	operational_coordinate_stability_interval	must not be called a confidence interval on a true boundary	residues or alignment columns	settings in the declared ensemble
E04	ordering consistency	fraction of sequences on which conserved anchors appear in the reference order	the query's own residue order	PARTIALLY_ESTABLISHABLE	computable without external truth, but a decoder can ENFORCE order, in which case the quantity measures the decoder rather than the sequence. It is identifiable only for methods that can emit out-of-order output, and the method's capacity to violate order must be demonstrated first	ordered-anchor rate, for methods demonstrated capable of emitting disorder	the word recovery is prohibited where order is enforced by construction	sequence	inspectable sequences in the arm
E05	transfer across RT classes	fraction of sequences in an unseen or held-out RT class receiving a complete, unambiguous, ordered coordinate assignment	none - a property of the instrument on a population	ESTABLISHABLE	a rate with a declared denominator. Stage 2B makes this genuinely testable for the first time, because a 45-family derivation panel CAN hold out whole families - which the 66-protein single-class historical substrate could not	class-level transfer rate, per held-out class	must not be called accuracy; a successful mapping is not a correct mapping	sequence	inspectable sequences of that class
E06	transfer across sequence-distance bins	E05 stratified by best identity and bidirectional coverage to the derivation panel	none	ESTABLISHABLE	identity distance and class novelty are SEPARATE axes and are reported jointly in a two-way table, never collapsed	transfer rate by identity bin and class status	must not conflate distance with novelty	sequence	sequences in the bin
E07	region occupancy / non-detection by RT class	per (class, region) distribution over the call-state vocabulary	none for the biological reading	PARTIALLY_ESTABLISHABLE	the DISTRIBUTION is measurable and is the central downstream product. The BIOLOGICAL reading - that a class lacks a region - requires the positive-control chain in E08 and is not licensed by the distribution alone	call-state distribution by class, with inspectability retained	NOT_DETECTED may never be reported as absent, lost, or lacking	call state	inspectable sequences of that class
E08	biological absence of a region in a class	the claim that a region is genuinely not present in the RT class, rather than not mapped	none currently	UNESTABLISHED as of now; PARTIALLY_ESTABLISHABLE if the evidence chain below is built	the chain required before the word absent is permitted: (i) the instrument detects the region in a positive-control class at a declared rate; (ii) the sequences are full length and inspectable, so the region could physically have been shown; (iii) mapping succeeds in the flanking regions on the same sequences, so failure is local rather than global; (iv) the result survives the derivation-panel perturbation ensemble; (v) an independent instrument or a structure agrees. Until all five hold, the state is NOT_DETECTED_INSPECTABLE	with the full chain: region R is not detected in class C at rate X while detected in class D at rate Y, under conditions (i)-(v)	absent, lost, lacks, missing - none of these until the chain is complete	class	inspectable full-length sequences of that class
E09	RT0 in retrons versus group II introns	whether an RT0-corresponding region is detectable in GII RTs but not in retrons	none currently	UNESTABLISHED	three independent obstacles, all measured: (1) the myRT window on LtrA is 90-360 and Blocker's RT0 zone is M1-R85, so every myRT-derived substrate has the region EXCISED and can never address it; (2) g2 created no RT0 block and the defining cross-class claim was NOT_TESTABLE_ON_SUBSTRATE; (3) the prior project's RT0 number was OBJECT_MISMATCH. A full-length substrate plus a non-LTR comparison class plus the E08 chain would be required	nothing yet. RT0 stays OUT_OF_FRAME	no RT0 occupancy, rate, presence or absence of any kind	region	n/a
E10	structural correspondence	whether a sequence-assigned anchor occupies a homologous structural position, and whether operational regions map principally to fingers, palm or thumb	structural feature assignment, in a different representation	PARTIALLY_ESTABLISHABLE	a containment and correspondence question, orthogonal to the sequence instrument PROVIDED no structure contributes to derivation. Constraints carried forward: LtrA/5G2X is the historical coordinate carrier and is excluded; tag offsets are unresolved (U11); the structural panel's RT-class coverage is the binding limit on what can be asked	structural correspondence, per structure, after the sequence instrument is frozen	must not be called independent validation of the coordinate system	structure	structures in the arm after exclusions
E11	insertion-coordinate reproducibility	reproducibility of the inferred length and position of sequence lying between consecutive conserved anchors	the query's own residue numbering for length; the ensemble for position	PARTIALLY_ESTABLISHABLE	inter-anchor LENGTH is a direct measurement on the query once anchors are placed, so it is the most robust architecture quantity available - more robust than any region edge. Its POSITION inherits anchor uncertainty. g2 has a landed precedent: the widest spacer at LtrA 230-304 reproduced across both frames and separated from the null at p=0.0050	inter-anchor spacing distributions by class, with anchor uncertainty propagated	must not be described as domain-boundary-delimited insertions	residues	sequences with both flanking anchors placed
E12	exact biological region boundaries	true start and end of a conserved region	NONE	UNESTABLISHED	unchanged from the previous two rounds and not reopened. No population supplies true region boundaries; the historical sources state a procedure and no residue edges	the explicit declaration	BOUNDARY_ACCURACY and BOUNDARY_CALIBRATION remain UNESTABLISHED	residues	n/a
E13	family assignment accuracy	whether the instrument assigns the correct RT family	none available	UNESTABLISHED	Stage-1's 42 family labels are produced by the myRT classification system, so testing a myRT-derived instrument against myRT-derived labels is the same instrument twice. Nothing local supplies independent family truth	nothing	must not report family assignment accuracy, precision or recall	sequence	n/a
E14	phylogenetic eligibility of the extracted core	whether extracted homologous-core positions are fit for Stage 06 inference	none in Stage 2	UNESTABLISHED in Stage 2	eligibility requires homologous-column coverage, order, ambiguity bounds, insertion masking, truncation status and exclusion of non-homologous class-specific regions - each of which is a separate measurement Stage 2 does not make	candidate core substrate, with per-sequence coverage and ambiguity fields so Stage 06 can apply its own criteria	phylogeny-ready is prohibited	sequence	n/a
