view	question	population	stratification	estimands	outputs	what_would_falsify_the_shared_frame	precedence	unit	denominator
A1	do conserved RT-core anchors map across broad RT-class diversity at all	all sufficiently represented RT classes in the frozen instrument's scope	RT class; identity-distance bin; completeness; source database	E01 mapping reproducibility; E05 class transfer; E04 ordering	per-class mapping-success rate with call states; failure modes named	a class in which mapping fails for most full-length members while succeeding in its neighbours	runs FIRST; everything else is conditional on it	sequence	inspectable sequences per class
A2	which anchors are broadly shared and which are lineage-restricted	as A1	RT class	E07 occupancy distribution	anchor occupancy matrix, class by anchor, with inspectability retained	nothing - both outcomes are results	after A1	anchor call	inspectable sequences per class
A3	where do RT classes differ in architecture	as A1	RT class	E11 inter-anchor spacing; region length; normalized position	spacing and length distributions by class; insertion/expansion candidates	nothing - both outcomes are results	after A2	residues	sequences with both flanking anchors
A4	is an apparently missing anchor architecture, truncation, or transfer failure	sequences with at least one NOT_DETECTED anchor	completeness class; contig-edge state; identity distance; flanking-anchor success	E07; E08 chain conditions (ii)-(iv)	per-sequence resolution into UNINSPECTABLE_PARTIAL, local non-detection with intact flanks, or global transfer failure	n/a	after A3; gates every use of the word absent	sequence	sequences with a non-detected anchor
A5	RT0 in group II introns versus retrons	full-length sequences only, with a non-LTR comparison class	RT class	E09	nothing until the substrate and comparison class exist	n/a	BLOCKED - E09 is UNESTABLISHED and RT0 stays OUT_OF_FRAME	region	n/a
B1	do retron RTs map onto the general frame at the same rate as other classes	Stage-1 retron stratum plus GOLD171	retron type; identity distance; activity stratum where supported	E05; E06	retron mapping-success rate compared against the per-class distribution from A1	if retrons map at a rate far below the distribution of other classes, the general frame has failed FOR RETRONS specifically	runs after A1 and is the decision point for B-extension	sequence	inspectable retron sequences
B2	which anchors differ in retrons relative to other classes	retron stratum	retron type; clade	E07; E11	retron anchor occupancy and spacing against the cross-class background	n/a	after B1 passes	anchor call	inspectable retron sequences
B3	retron-specific insertions and unusual architectures	retron stratum	retron type	E11	retron insertion length distributions; outlier architectures retained and flagged	n/a	after B2	residues	retron sequences with both flanking anchors
B4	relationship to later structural and ncRNA analyses	retron stratum	retron type	E10	coordinate handoff tables only; no inference in Stage 2	n/a	Stage 04 / Stage 07 / Stage 10	n/a	n/a
RULE-1	the general frame is derived ONCE, on the broad panel, and is frozen before either view runs	n/a	n/a	n/a	n/a	n/a	binding	n/a	n/a
RULE-2	retrons are an ANALYSIS stratum, not a derivation stratum, unless B1 demonstrates systematic failure	n/a	n/a	n/a	n/a	a retron-specific extension is proposed only on B1 evidence, never pre-emptively	binding	n/a	n/a
RULE-3	if a retron-specific extension is built, it is an EXTENSION of the shared coordinate system, reporting where it diverges, not a second independent frame	n/a	n/a	n/a	n/a	n/a	binding - two unrelated frames would make cross-class comparison impossible, which is the whole point of View A	n/a	n/a
RULE-4	every occupancy statement carries its call state, its inspectability and its denominator; a class-level rate is never computed over sequences that could not physically show the anchor	n/a	n/a	n/a	n/a	n/a	binding	n/a	n/a
