id	layer	result	rules_out	why_informative	source
N01	L1	The held sources state a residue boundary for 1 of 32 region names; 18 are derivable only as a procedure.	Reading RT0-RT7 as a set of published residue coordinates.	Shows the labels are procedural objects; any coordinate must be reconstructed and carry an interval.	results/rt07_g1_history_and_definition/tables/g1_resolved_values.tsv
N02	L1	The seven-way partition is recovered in the independent frame (YES) but not the primary frame (NO); block-count null p = 0.6965. Verdict on the partition itself: NOT ESTABLISHED.	Treating the number of numbered domains as a stable, recoverable property of the alignment.	Conserved positions and the widest gap beat their nulls (p = 0.0050, 0.0050); only the count does not. Placement is recoverable, cardinality is frame-dependent.	results/rt07_g2_reference_reconstruction/tables/g2_resolved_values.tsv
N03	L1	No reconstructed block corresponds to RT0 (rt0_block_created = NO).	An alignment-derived RT0 coordinate.	RT0 is not recovered even on the sequences from which the numbered series was built.	results/rt07_g2_reference_reconstruction/tables/g2_resolved_values.tsv
N04	L1	Of 13 prior claims, 2 reproduced on the same object and frame; 3 were circular or seed-dependent; 2 object mismatches; RT0 verdict OBJECT_MISMATCH; RT5 and RT6 collapse onto one reconstructed region.	Reusing prior RT0-RT7 coordinate frames as independent evidence.	The prior frames are coordinate transfers over one anchor-derived landmark set; this is why Route C is corroboration, not replication (E-g7a-1).	results/rt07_g3_prior_method_replication/tables/g3_resolved_values.tsv
N05	L2	Two design reviews returned 'not ready' (3/10, 4/10) and the full-length-first design FAIL/BLOCK (5/10).	Estimating a universal full-length RT0-RT7 architecture with the available data.	Forced the identifiability redesign: the mapper estimates conserved-state occupancy, not domains.	docs/decisions/2026-09-16_stage2_g4_review_round2_and_repairs.md
N06	L2	Under hhmake -M a2m, DGRs and AbiA retain 0 and 0 all-partner states; under -M 50 the all-partner core is 7.5-27.5% of the full consensus.	A universal conserved core that is invariant to the match-state convention.	Fixes the instrument's scope: it is validated under -M 50 only; robustness under a2m and equivalence under -M 60 are not claimed.	results/rt07_g4a_repaired/tables/g4a_hhmake_M_sensitivity.tsv
N07	L2	UG5 gate v2 failed its predeclared criterion 2: monotone placement for 31 of 67 sequences (46.3%).	Transfer of the v2 placement rule to the UG5 holdout.	A predeclared falsification, retained as a valid result; it is why the transfer test was redesigned.	docs/decisions/2026-09-16_stage2_ug5_v2_closed_failed.md
N08	L2	UG5 v3 FAIL/BLOCK (5/10): a detection sub-gate, not a mapper gate.	Counting UG5 v3 as mapper validation.	Separated detection from residue mapping in every later gate.	docs/decisions/2026-09-16_stage2_ug5_v3_review_outcome.md
N09	L2	G2L residue-transfer gate FAIL/BLOCK (FAIL/BLOCK, 4/10).	G2L as a mapper transfer test: criterion 2 (a frozen score rule) was not met, and G2L is a fresh family within a related lineage, not a fresh lineage.	Led to the posterior-based support rule and the predeclared genealogy audit: UG25 has 0 exact overlaps with construction and 0 of 28 sequences meeting the full link rule (FRESH_LINEAGE).	docs/decisions/2026-09-17_stage2_g2l_transfer_review_FAILED.md
N10	L3	The full between-family concordance (0.9865) does not exceed the sequence-level null p99 (0.9906); it exceeds the cluster-level null p99 (0.9066).	Reading g6 as significant under every reasonable null.	The two nulls are sensitivity analyses with opposite biases, not bounds (E-g6-2).	results/rt07_g6_family_architecture/tables/g6_between_family_rho.tsv
N11	L3	The label-free within-Retron arm is UNDERPOWERED; 26 of 50 retron subtype strata did not enter a distance matrix.	Label-free recovery of retron subtype structure.	Without an external label the descriptor's concordance is untested at subtype level.	results/rt07_g6_family_architecture/tables/g6_within_retron_rho.tsv
N12	L4	RT0 and RT1 have no supported crosswalk: zero frozen anchors fall in LtrA 1-85 or 39-61; anchor reach is LtrA 97-363.	Any operational RT0 or RT1 coordinate from this instrument.	Localises the limit: historical (no stated boundary; defining source not held) and instrumental (no N-terminal anchors). Not a statement of biological absence.	results/rt07_g7a_rt0_rt7_bridge/tables/g7a_crosswalk_resolved.tsv
N13	L4	0 independent structural comparators; 1 primary asset missing (Malik, Burke & Eickbush 1999, the defining source for RT0).	Structural or primary-source adjudication of RT0 within Stage 2.	Names exactly what new evidence could change the RT0/RT1 statuses.	results/rt07_g7a_rt0_rt7_bridge/tables/g7a_summary.tsv
