id	failure_criterion	measured_on	declared_threshold	why_this_threshold	consequence_if_triggered	fallback_level	unit	denominator
F01	the primary anchor is not locatable across the panel	A_DYAD recovery per family	a family is ANCHOR_POOR below 90 percent dyad occupancy	the bar is set from the MEASURED distribution before any frame is built, and 7 families already fall below it: UG13 52.0, UG23 66.7, UG15 69.2, UG21 69.6, G2L 76.4, UG12 86.5, Retrons 89.6	those families are predeclared ANCHOR_POOR and require a second anchor before they enter the common frame; a low mapping rate there is a property of the reference material, not a biological finding	family-specific anchors	family	proteins of that family
F02	no second anchor can be established	A_POCH_MOTIFS and A_RVT1_STATES occupancy, both currently UNMEASURED	at least two anchors locatable in at least 90 percent of panel proteins	a single-anchor frame cannot establish ORDER, and order is the cheapest evidence of homologous correspondence	the common frame is abandoned; fall back to class-level coordinate systems	class-level	protein	panel proteins
F03	anchor order is not consistent across families	V02 ordered-anchor rate, on methods able to emit disorder	below 95 percent within a lineage	inconsistent order between families means the anchors are not corresponding features	that lineage gets its own coordinate system	class-level	protein	proteins with at least two anchors
F04	correspondence collapses below an identity threshold	V06 callability by identity bin	identify the bin at which callability drops below 50 percent, declared as the frame's SCOPE rather than as a pass or fail	a coordinate system has a domain of validity; naming it is the honest alternative to pretending it is universal	the frame is reported WITH its identity scope, and application outside that scope is refused rather than extrapolated	scoped global	protein	proteins in the bin
F05	a whole withheld family cannot be mapped	V07 class-held-out callability	below 50 percent for a withheld family	the capability this redesign buys; a frame that cannot reach a withheld family is not general	that family is out of frame scope and is reported as such	class-level	protein	proteins of the withheld family
F06	a whole withheld LINEAGE cannot be mapped	V07 with a lineage withheld	below 50 percent for a withheld lineage	stronger than F05 and the real test of generality	the common frame is abandoned for that lineage	class-level	protein	proteins of the withheld lineage
F07	retrons require fundamentally different mapping	V07 with Retron withheld, compared against the distribution of other withheld lineages	retron callability more than 2 standard deviations below the other lineages	this is the operator's explicit condition for a retron-specific extension, and it must be measured rather than assumed	a retron coordinate EXTENSION is proposed - an extension of the shared frame reporting where it diverges, never a second independent frame	class-level, retron extension	protein	retron proteins
F08	the frame moves when the panel is rebuilt	V09 panel sensitivity under UG_OPTION_A versus UG_OPTION_B	anchor coordinates shifting by more than the stability interval	the UG allocation question could not be settled in this task; F08 makes the unsettled choice auditable instead of hidden	the frame is reported as panel-conditional and the UG question escalates to the operator	scoped global	residues	alternative panels
F09	homologous columns are method artefacts	V04 alignment stability	a column is NON-HOMOLOGOUS unless stable across the declared alignment methods	an MSA emits a column whether or not the residues are homologous	unstable columns are masked out of the core and reported as masked	scoped global	alignment column	core columns
F10	the whole hypothesis fails	F02 and F06 both triggered	n/a	if fewer than two anchors are locatable AND no withheld lineage maps, there is no common frame to build	Stage 2 lands the reference inventory, the anchor occupancy measurement and a documented impossibility result, and closes. This is an acceptable outcome and the launcher's whole-track kill criterion already contemplates it	none - stop	n/a	n/a
HIERARCHY	the fallback ladder, declared before any derivation	n/a	n/a	n/a	global RT anchors, then class-level coordinate systems, then family-specific architecture. Failure at one level falls to the next rather than forcing the level above	n/a	n/a	n/a
