edge_id	region_ids	n_regions	naming_source	label_used	inherits_from_citation	antecedent_held_locally	edge_kind	verification	page_locator	quote	note	unit	denominator
G01	domain_1|domain_2|domain_3|domain_4|domain_5|domain_6|domain_7	7	xiong1990	domains 1-7	Xiong & Eickbush 1988a; Toh et al. 1983, 1985	NO	ORIGIN_IN_HELD_SET	VERIFIED	4	Seven peptide regions (domains 1-7) containing 178 amino acids were found to be common to all elements.	The numbered seven-way partition first appears here in the held set, itself refined from the authors 1988 alignment and Toh's conserved residues. The 1988 paper is not held.	genealogy edge (region, naming source, antecedent)	edges traceable in the held derivational set
G02	domain_3|domain_4|domain_5|domain_6|domain_7	5	xiong1990	domains 3-7	Poch et al. 1989 motifs a-e	YES	CROSS_PARTITION_MAP	VERIFIED	4	In the case of Poch et al. (1989) the five motifs identified (regions a-e) correspond to our domains 3-7.	Both ends of this correspondence are held, so it is checkable in this project rather than inherited.	genealogy edge (region, naming source, antecedent)	edges traceable in the held derivational set
G03	domain_2|domain_3|domain_4|domain_5	4	xiong1990	domains 2-5	Webster et al. 1989	NO	INDEPENDENT_CONFIRMATION	VERIFIED	4	In the case of Webster et al. (1989) the four blocks identified correspond to our domains 2-5.	The second confirmation route; the confirming paper is not held, so the claim is recorded and not re-verified here.	genealogy edge (region, naming source, antecedent)	edges traceable in the held derivational set
G04	motif_A|motif_B|motif_C|motif_D|motif_E	5	poch1989	motifs A-E	Kamer and Argos 1984 (YGDD span)	NO	ORIGIN_IN_HELD_SET	VERIFIED	1	One of these motifs corresponds to the YGDD span previously described by Kamer and Argos (1984).	The motif partition's own antecedent. The YGDD span is the oldest landmark in the chain and the only one that survives into every later partition.	genealogy edge (region, naming source, antecedent)	edges traceable in the held derivational set
G05	domain_0|domain_1|domain_2|domain_3|domain_4|domain_5|domain_6|domain_7|domain_X	9	zimmerly2001	subdomains 0-7, domain X	Malik, Burke & Eickbush 1999 (ref 7); Gorbalenya 1994 (ref 9); Xiong & Eickbush 1990 (ref 32)	PARTIAL	INHERITED_LABELLING	VERIFIED	3	are labeled according to previous studies (7,9,32) taking into account the boundaries of conservation seen in our alignment	Of the three cited sources only Xiong & Eickbush 1990 is held. The paper that numbers the subdomains inherits its labels, then adjusts them against its own alignment.	genealogy edge (region, naming source, antecedent)	edges traceable in the held derivational set
G06	domain_0	1	zimmerly2001	subdomain 0 / domain 0	Malik, Burke & Eickbush 1999 (ref 7), where it was renamed from domain Z	NO	RENAME	VERIFIED	1	[Domain 0 was formerly called domain Z but was more recently renamed domain 0 in non-LTR RTs (7)]	RT0's concept is older than its name and its naming source is not held by this project. This is the weakest link in the whole chain and it is the link RT0 hangs from.	genealogy edge (region, naming source, antecedent)	edges traceable in the held derivational set
G07	domain_2a	1	zimmerly2001	subdomain 2A	Malik, Burke & Eickbush 1999 (ref 7), non-LTR RT usage	NO	INHERITED_LABELLING	VERIFIED	3	[Subdomains 0 and 2A are named in accordance with non-LTR RTs (7)	2a enters the numbered vocabulary from the same unheld source as 0, and by the same route.	genealogy edge (region, naming source, antecedent)	edges traceable in the held derivational set
G08	struct_palm|struct_fingers	2	zimmerly2001	palm and finger regions	Kohlstaedt et al. (ref 6), HIV-RT crystal structure	NO	STRUCTURAL_ANALOGY	VERIFIED	1	The RT domain forms the bulk of the ORF and consists of subdomains 1-7 [palm and finger regions in the crystal structure of HIV-RT (6)]	The sequence-to-structure mapping enters as an analogy to one crystal structure of one enzyme, in square brackets, with no measurement attached.	genealogy edge (region, naming source, antecedent)	edges traceable in the held derivational set
G09	domain_0|domain_2a	2	simon2008	domains 0 and 2a	Malik, Burke & Eickbush 1999 (ref 22); Zimmerly, Hausner & Wu 2001 (ref 23)	PARTIAL	INHERITED_SCOPE	VERIFIED	1	In contrast, domains 0 and 2a are shared among only a subset of RT classes	The scope limit is restated seven years later, citing the same unheld 1999 source plus the 2001 paper that itself cited it.	genealogy edge (region, naming source, antecedent)	edges traceable in the held derivational set
G10	domain_1|domain_2|domain_3|domain_4|domain_5|domain_6|domain_7	7	simon2008	RT domains 1-7	Xiong & Eickbush 1990 (ref 21)	YES	INHERITED_LABELLING	VERIFIED	1	RT domains 1-7 constitute the palm and finger domains of the polymerase protein, and their sequences are generally alignable across RTs	The numbered series is carried into the bacterial RT literature by direct citation of the 1990 paper, with the structural mapping attached to it.	genealogy edge (region, naming source, antecedent)	edges traceable in the held derivational set
G11	rt0_spelling|rt1_spelling|rt2_spelling|rt3_spelling|rt4_spelling|rt5_spelling|rt6_spelling|rt7_spelling	8	blocker2005	RT0, RT1-RT7	Xiong & Eickbush 1990; Malik et al. 1999; Zimmerly et al. 2001	PARTIAL	RESPELLING	VERIFIED	2	the RT domain contains conserved sequence motifs RT1-RT7 found in the fingers and palm of retroviral RTs, along with an upstream motif RT0 characteristic of the RTs of non-LTR-retroelements	The modern spelling appears in the held set only here, as a respelling of three earlier sources. No held source both uses this spelling and derives the partition.	genealogy edge (region, naming source, antecedent)	edges traceable in the held derivational set
G12	rt_domain_whole	1	align000044	reverse transcriptase domain	Zimmerly, Hausner & Wu 2001, the paper this alignment belongs to	YES	PRIMARY_ALIGNMENT_RECORD	VERIFIED	1	a reverse transcriptase domain (residues 261-886)	The authors own alignment record divides the protein into three domains and stops there. The numbered subdomains are not annotated in it.	genealogy edge (region, naming source, antecedent)	edges traceable in the held derivational set
