field	specification	justification_or_source	unit	denominator
sampling_unit	exact RT - sha256 over the amino-acid sequence	the project's primary analytical unit; contract canonical objects table	exact RT	501,561 exact RTs in the frozen Stage-1 catalogue
frame_source	rt_family_baseline_v1.parquet joined to rt_cds_recovery_v1.parquet, plus the landed strata in dbchar_g4_family_baseline/tables/	landed Stage-1 metadata only; the sampling frame is built from eligibility columns, never from sequence analysis	table row	the eligibility tables named
compute_boundary	keys are drawn from the metadata tables; sequences are then extracted for the sampled keys only. NO index is built over rt_exact_v1.faa, NO search uses the full catalogue as target, and no sequence-level operation touches a non-sampled record	launcher section 8 forbids a full 501,561 pass in g1-g4. This formulation satisfies both readings of that prohibition and does not depend on the open BLOCKED ruling	operation	n/a
inclusion_view	V-RT-SINGLE, per results/dbchar_g2_canonical_units/VIEWS.md	the declared view vocabulary every downstream number must name	view	n/a
inclusion_completeness	completeness_class = all_complete	launcher section 7e full-length derivation rule: a contig-edge-truncated CDS shifts the very boundary being defined	exact RT	V-RT-SINGLE exact RTs of that family label
inclusion_clipping	not clipped; no contig-edge flag	as above	exact RT	as above
inclusion_length	family-relative window: 0.5x to 2.0x the family median aa length from g4_completeness_by_family.tsv	a family-relative window is derived from landed Stage-1 output. The prior 200-900 aa window is NOT inherited: it came from the CAND95 recruitment gate and importing it would import the old seed's selection	exact RT	as above
exclusion_derivation_leakage	exclude any exact RT whose best identity to any of the 66 ALIGN_000044 derivation proteins is at least 90 percent WITH bidirectional coverage at least 80 percent. Thresholds declared here, before any sample is drawn	failed-review repair 3: the leakage matrix must be anchored on the g2 derivation sequences, not on all167, and must use coverage as well as identity	exact RT	sampled candidates
exclusion_old_seed_neighbourhood	additionally exclude exact RTs at 90 percent identity or above to any all167 member. Measured on the sampled candidates only, never catalogue-wide	belt-and-braces: the old seed does not enter the new derivation at all, but keeping its neighbourhood out of the evaluation arm keeps the comparator reporting honest. 146 of 167 old-seed sequences are exact Stage-1 members and 162 are at least 90 percent identical to one	exact RT	sampled candidates
exclusion_ncrna_anchor_only	the 298,482 ncRNA-anchor-only records enter no denominator	binding population rule, docs/decisions/2026-09-15_stage1_population_rules.md	record	298,482 excluded records
stratification_variables	family label; MULTI as its own stratum; completeness class; source database; nearest-derivation identity decile	launcher section 3 and the project convention that MULTI is never appended to a single RT family	stratum	n/a
family_cap	120 eligible exact RTs per family label	keeps the sample bounded and prevents RVT-GII with 167,033 eligible members and Retron with 54,679 from dominating a per-family transferability statement	exact RT	per family label
family_floor	all eligible members where a family has fewer than 30	preserves the small families rather than dropping them; RVT-AbiA contributes 9 and is reported as 9	exact RT	per family label
multi_stratum	MULTI drawn separately from the MULTI file label, cap 120, never merged into any single-family count	project convention: MULTI remains its own multi-label population	exact RT	7,593 MULTI exact RTs
expected_draw_before_exclusions	4,809 across 41 family labels with all_complete counts, plus at most 120 MULTI, giving at most 4,929	computed from g4_completeness_by_family.tsv; 40 of 41 families reach the cap, RVT-AbiA contributes 9	exact RT	41 family labels plus MULTI
max_N	5,000 - a hard ceiling. The realized n after exclusions is reported, not back-filled toward the ceiling	0.997 percent of the catalogue; bounded by construction	exact RT	501,561
random_seed	20260916, declared here before any draw	reproducibility	n/a	n/a
draw_procedure	within each stratum, sort eligible keys by sha256 and take the first k under the declared seed's permutation; the exact procedure is fixed in code before execution	deterministic and rerunnable from the landed frame	n/a	n/a
development_vs_evaluation	the Stage-1 sample is UNTOUCHED EVALUATION in full. No threshold, hyperparameter or method choice is made on it. Thresholds are selected on the derivation substrate and the negative controls only	removes the dev/test leakage question entirely rather than managing it; failed-review repairs 8 and 12	n/a	n/a
dev_pilot	a separate DEV_PILOT of n=200, family-stratified, seed 20260916 with a different stream, used ONLY for throughput measurement and schema debugging. It is permanently excluded from the evaluation draw and no number computed on it is reported	launcher section 8 requires piloting every expensive operation before sizing it	exact RT	200
identity_leakage_reporting	per sampled sequence, best identity and bidirectional coverage to the nearest of the 66 derivation proteins, retained as a column and used as a reporting stratum	transferability must be reported AS A FUNCTION of distance, not as one pooled number	exact RT	realized n
what_is_NOT_claimed	no boundary accuracy; no family-held-out cross-validation, because the derivation set contains no Stage-1 family and there is nothing to hold out; no biological absence from a non-detection	estimand_matrix.tsv Q08, Q13, Q04	n/a	n/a
