lineage	member_labels	n_labels	n_eligible_full_length	n_non_redundant_at_kmerJ_0.90	proposed_allocation	allocation_basis	within_lineage_rule	constraint_or_risk	unit	denominator
GII_like	GII, G2L, G2L4	3	555	555	90	capped at the per-lineage target; 555 available	proportional to sqrt(n) across the 3 labels, floor 4 each	the only lineage overlapping the historical g2 substrate; 11 myRT GII seeds are contained in ALIGN_000044 bacterial proteins, so GII is partly in-distribution for the historical arm and must be flagged as such	full-length protein	2,166 eligible full-length proteins
DGR	DGRs	1	488	488	90	capped; 488 available	single label; stratify by length to retain the 10 short members as a flagged sub-stratum	DGRs is one label carrying 488 sequences - abundance, not necessarily diversity; median pairwise 4-mer Jaccard 0.008 indicates it is genuinely diverse	full-length protein	as above
CRISPR	CRISPR	1	129	129	90	capped; 129 available	single label; 18 members exceed 900 aa and are probable Cas fusions - retained deliberately as a fusion sub-stratum	the coarse CRISPR label collapses myRT's 5 fine models CRISPR-G1..G5; the fine structure is available from the seed vocabulary and should be used for stratification	full-length protein	as above
Retron	Retrons	1	95	95	90	near-exhaustive; 95 available	single label; stratify by retron type where Mestre/Toro-2026 typing can be joined	THE BINDING CONSTRAINT FOR THE FOCAL TARGET. Only 95 eligible full-length retrons exist in myRT. The retron-focal view (View B) cannot be built from this panel alone and must draw additional retron depth from the Stage-1 retron stratum under a bounded declared sample	full-length protein	as above
UG	UG1-UG28b, 29 labels	29	863	862	90	capped at the per-lineage target	floor 2 per label (58 slots), remainder distributed proportional to sqrt(n)	UNRESOLVED DESIGN QUESTION - see the UG rows below. UG is a residual category, not a demonstrated lineage	full-length protein	as above
Abi	AbiA, AbiK, AbiP2	3	36	36	36	exhaustive - all 36 taken	all available	the smallest lineage, and the one whose seeds most often lack a full-length parent: only 8 of 43 AbiP2 and 5 of 12 AbiK seeds map to the shipped collection	full-length protein	as above
PANEL_TOTAL	all	38	2,166	2,165	486	per-lineage target 90, Abi exhaustive at 36	n/a	UG share 18.5 percent, Retron share 18.5 percent. Contrast the previously proposed per-label cap, which gave UG 73-77 percent and Retron 3-4 percent	full-length protein	486 of 2,166 eligible
ELIGIBILITY_RULE	n/a	n/a	n/a	n/a	n/a	exclude the NotUsed label (136) and UNC (1); exclude 10 sequences carrying non-standard residues; exclude sequences shorter than 250 aa as probable fragments	n/a	2,339 records minus 137 excluded labels minus 10 non-standard minus the sub-250 aa fragments leaves 2,166 eligible	full-length protein	2,339 records
REDUNDANCY_FINDING	n/a	n/a	n/a	n/a	n/a	MEASURED, and it changes the design: greedy clustering at 4-mer Jaccard 0.90 removes essentially nothing - 2,165 representatives from 2,166 eligible sequences. Median within-family pairwise 4-mer Jaccard ranges 0.007 to 0.177	n/a	the collection is ALREADY dereplicated upstream. Redundancy control is therefore NOT the binding constraint; family imbalance is. The previous design's emphasis on redundancy reduction was misplaced	full-length protein	2,166 eligible
UG_OPTION_A	treat UG as ONE lineage	29	863	862	90 total, ~3 per label	one residual lineage	floor 2 per label	gives each UG label ~3 representatives - too thin to characterise within-family architecture, but adequate if UG is genuinely one grade	n/a	n/a
UG_OPTION_B	treat each UG label as its own lineage	29	863	862	29 x 90 = 2,610 requested against 863 available, i.e. take all 863	29 independent lineages	n/a	reproduces the failure the previous reviewer identified: UG would be 863 of ~1,300 panel members, about 66 percent	n/a	n/a
UG_OPTION_C	resolve UG structure phylogenetically first	unknown	863	862	deferred	the actual phylogenetic structure of the UG grade	deferred	RECOMMENDED, AND PARTIALLY UNBLOCKED BY A NEW FIND. UG stands for 'unknown group'; whether its 29 labels are 29 lineages, a few clades or a paraphyletic grade is established by nothing in this project. The Toro et al. 2019 reference tree IS held locally at references/rt0_rt7/myrt/Suppl_Toro_Tree.txt - MEASURED at exactly 9,141 tips by newick tokenisation - and it is the scaffold the 2022 UG/Abi paper used. It carries TOPOLOGY, which is what the UG question needs. What it does NOT carry is group annotation: tips are SEED/PATRIC fig IDs plus organism, with no UG label. The 42-group assignment table is NOT on this machine	n/a	n/a
UG_OPTION_C_PATH	the bounded work that would settle the UG allocation	n/a	n/a	n/a	n/a	join myRT UG labels onto the 9,141 tips and read the UG grade's topology directly	n/a	FEASIBLE BUT UNVERIFIED: the join depends on whether myRT protein identifiers can be matched to SEED/PATRIC fig IDs, which has NOT been tested. If the join succeeds the UG allocation becomes an evidence-based choice; if it fails, UG_OPTION_A versus B stays an operator judgement audited by V09/F08. This is a bounded, local, catalogue-free operation	n/a	n/a
RESOURCE_STATUS_1	Toro et al. 2019 9,141-RT reference tree	n/a	9,141 tips	n/a	not a sequence panel	references/rt0_rt7/myrt/Suppl_Toro_Tree.txt, 726,580 bytes, sha256 ea0ee646d9dacc33eada8603a412578c9bab2753a362d49c7a0894e70c89be31; six byte-identical copies on this machine	n/a	MISFILED under myrt/ - it is Toro 2019, not myRT, and the project README already flagged its year as unestablished. It can now be dated. Registering it correctly is a launcher 4 amendment	tree tip	9,141 tips
RESOURCE_STATUS_2	2022 UG/Abi 42-group assignment table and supplementary FASTAs	n/a	NOT PRESENT	n/a	n/a	the paper PDF is held (RETRON-DB_V4/MELISSA_DATA/papers_Phylogeny/), and states 'Of the 42 UG/Abi RT groups'; the supplementary data are not on this machine	n/a	the resource the previous reviewer said was missed is HALF present: the scaffold tree yes, the group assignments no. Acquiring the supplementary tables is an operator decision under launcher 9a/9b	n/a	n/a
RESOURCE_STATUS_3	Silas et al. 2017, 266 RT-Cas loci	n/a	NOT PRESENT	n/a	n/a	paper PDF held in three copies; the data are figshare-hosted and the PDF says so	n/a	confirmed absent, not merely unfound. Only the Fig. 1 label block is in the PDF - 61 tree labels, about a quarter of 266	n/a	n/a
RESOURCE_STATUS_4	per-UG-group HMM library, myRT round 2	n/a	41 family directories, 32 UG/Abi labels	n/a	comparator only	RETRON-DB_V3/MELISSA_DATA/HMM_RT_profiles/hmms_per_domain_MyRT_round2/	n/a	NOT the 2022 paper's 42 groups - it is myRT-derived and rebuilt 2026-06-23 from an Ibex copy. Must not be mistaken for an independent UG classification	n/a	n/a
COVERAGE_GAP	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8 families have fewer than 70 percent of their seed fragments mapping to any shipped full-length protein: AbiP2 18.6, UG24 18.2, AbiK 41.7, UG10 43.8, G2L4 47.1, UG23 50.0, UG2 59.1, UG20 62.5. For these families the full-length parents are NOT locally available, so full-length-first coverage is incomplete exactly where the seed evidence exists	full-length protein	1,835 of 1,988 seeds mapped
NOT_A_STRUCTURE_REQUIREMENT	n/a	n/a	n/a	n/a	n/a	n/a	n/a	admission to the panel carries NO structural requirement, per the operator's instruction. 21 of 38 families have no experimental structure and are admitted on sequence evidence alone	n/a	n/a
