population_id	description	size	unit	exposure_state	spent_by	can_serve_as_confirmation	evidence	notes	analysis_family	endpoint_exposure
PAIR-ELIG	exact RT-ncRNA pairs; the population for all embedding and pairing work	30,924 pairs / 1,075 components	exact pair; component is the inference unit	EXHAUSTED	embed_x2 cross-fit ALL FIVE folds; the embed_g2b test fold was in training for at least three	NO - PERMANENTLY	CROSSFIT_META.json assignment rule; review section 4 G16	Irreversible. No untouched holdout remains inside this population. Any pairing follow-up must declare a confirmatory population BEFORE design, not after.	(pre-ruling row)	see EXPOSURE_BY_ENDPOINT.tsv
EMBED-G2B-TEST	the frozen single test fold from the retrieval gate	4,638 pairs / 357 components	exact pair	EXHAUSTED	subsumed by PAIR-ELIG cross-fitting	NO - PERMANENTLY	same	The bundle says the g2b split and X1 are 'untouched'. True of the FILES and of X1's interpretation; NOT true of the data's holdout status.	(pre-ruling row)	see EXPOSURE_BY_ENDPOINT.tsv
RT-EXACT-501561	the exact-RT catalogue	501,561	exact RT sequence	INSPECTED	Stage 1, Stage 2 g5, T-A16 (proposed)	YES for non-pairing endpoints	g2 unit ladder	Inspection is not consumption. A confirmatory split could still be drawn here for a question that has never used it.	(pre-ruling row)	see EXPOSURE_BY_ENDPOINT.tsv
NCRNA-16458	oriented exact ncRNAs	16,458	exact ncRNA sequence	INSPECTED	Stage 1; prior-project folding and a1/a2 calls	YES for non-pairing endpoints	data/derived/rt_ncrna_oriented_v1.fna	99.35% already folded and 95.83% already a1/a2-called in a PRIOR PROJECT. Those are assets, not this project's conclusions.	(pre-ruling row)	see EXPOSURE_BY_ENDPOINT.tsv
RETRON-LOCI	Retron-labelled physical loci	630,741 / 632,688	physical locus	INSPECTED	Stage 1 g3/g6/g7b	YES	Z6 and g3 denominators differ by 1,947 - do not mix	The ~40% zero-ncRNA class at full upstream context is unexplained, not attributed.	(pre-ruling row)	see EXPOSURE_BY_ENDPOINT.tsv
PANEL-175	the experimental retron panel	175 elements	assayed retron element	PARTIALLY EXPOSED	58 train-exposed; 33 val/test-exposed; 56 catalogue-only; 12 sequence-near	ONLY the 16 fully external, and ONLY at a functional endpoint	EXPERIMENTAL_EVIDENCE_REGISTER.tsv exposure map	16 is an anecdote, not a confirmatory population. Say so in advance rather than at review.	(pre-ruling row)	see EXPOSURE_BY_ENDPOINT.tsv
PANEL-RTDNA-81	elements with an empirically determined RT-DNA sequence	81	assayed element	NOT A TRAINING TARGET	nothing - the functional outcome was never trained on anywhere in this project	YES - this is the strongest available anchor	support.csv RTDNA_sequence column	Sequence exposure here is a HOMOLOGY concern, not a label-leak concern. That distinction is what makes these usable.	(pre-ruling row)	see EXPOSURE_BY_ENDPOINT.tsv
PANEL-PRODUCERS-67-36	measured RT-DNA production, positive against measured-zero	67 / 36	assayed element	NOT A TRAINING TARGET	nothing	YES	register rtdna_production column	The ONLY measured functional retron / non-functional contrast anywhere in the project. Exposure is spread across both classes.	(pre-ruling row)	see EXPOSURE_BY_ENDPOINT.tsv
STRUCT-62	the experimental structure register	62 chains / 31 groups	RT chain	EXHAUSTED for Tier A	Stage 3B calibrated thresholds on the 19 Tier-A truth pairs then scored them	NO for Tier A; Tier B UNOPENED	g2_frozen_parameters.tsv	All 19 truth-bearing chains are NON-RETRON. All 21 retron chains sit in Tier B or C and were never scored. Tier B is partly design-inspected, so not blind.	(pre-ruling row)	see EXPOSURE_BY_ENDPOINT.tsv
CM-CALLS	the 21 Mestre-authored covariance models and every ncRNA call descending from them	21 models	detection model	DEFINES THE POPULATION	everything	NO - it is the instrument, not a test set	CIRCULARITY_AND_LEAKAGE.md section 1	Cannot adjudicate anything measured on the population it defines. Any boundary or type claim scored against these is same-paradigm.	(pre-ruling row)	see EXPOSURE_BY_ENDPOINT.tsv
LIT-CROSSPAIR	published non-cognate RT-ncRNA measurements	56 rows / 7 blocks / 3 lineages	measured combination	EXTERNAL - never a project population	nothing	YES in principle; too thin in practice	A23_geometry.tsv	42 of 56 rest on one caption-expansion decision; zero carry a numeric value. Defensible floor is 8 combinations, 6 unconfounded.	(pre-ruling row)	see EXPOSURE_BY_ENDPOINT.tsv
DEPOSITED-COMPLEXES	retron RT-RNA-DNA structures	8	deposited complex	EXTERNAL	nothing	YES - calibration only, not inference	DATASET_REGISTRY STRUCT-COORDS	The positive control for any ncRNA architecture work. Too few for a rate.	(pre-ruling row)	see EXPOSURE_BY_ENDPOINT.tsv
RT-RECORDS-ALL-FAMILIES	raw RT source records across ALL RT families, the population T-N1/N1b/N1c actually touched	3,028,196 anchored records over 44,310,231 CDS	raw source record - NOT an independent physical locus	INSPECTED for neighbourhood_geometry	T-N1 (REVIEW_FAILED), T-N1b (VOID), T-N1c (VOID_ESCALATED)	NO for neighbourhood-geometry endpoints; YES for others	N1c controls: anchor uniqueness 3,028,196/3,028,196; reproduction 31,504/31,504	ADDED 2026-09-20 by the reconciliation session. This population had NO ledger row while three tasks spent it. T-N1 declared RETRON-LOCI and that declaration was WRONG: rows are raw records across all families, not retron loci, and they are not independent. locus_key and physical_locus_key allow a consumer to collapse them	neighbourhood_geometry	see EXPOSURE_BY_ENDPOINT.tsv
