id	kind	source_path	commit	date	what_it_is	key_quantities	inferential_unit	status	used_for
EMB-G0	frozen result bundle	results/embed_g0_input_contract/	fe6e1a3 (landed) / 5dbd368 (last touched)	2026-09-18	Input contract: PAIR-ELIG universe definition, ncRNA sequence reconstruction and hash round-trip, length/composition census, pilot throughput	30,924 observed pairs; 29,192 exact RTs; 16,458 oriented ncRNAs; 21 retron types; 16,458/16,458 sha256 round-trip verified; 214 ncRNAs (1.30%) carry IUPAC codes	raw record -> exact sequence -> pair	FROZEN	Methods 2.1-2.2; F1; population denominators everywhere
EMB-G1	frozen result bundle	results/embed_g1_representations/	5dbd368	2026-09-18	Frozen pooled and per-token ESM-C 300M (RT) and RiNALMo giga-v1 (ncRNA) caches produced on Ibex A100, with per-shard sha256 manifests	29,192 x 960 and 16,458 x 1280 pooled fp16; 21 GB + 6.6 GB token caches; no truncation; coverage 29,192/29,192 and 16,458/16,458	sequence	FROZEN	Methods 3; conditioning input to X1/X2; token caches retained and unused
EMB-G2A	frozen result bundle	results/embed_g2a_split_selection/	fd5efc9	2026-09-18	Relatedness-threshold sweep and leakage instrumentation, run blind to any compatibility result	12 RT x ncRNA threshold combinations; test n_eff 1.3 to 1,895; exact held-out-vs-training search (15.7% vs 4.9% censored at RT 0.30)	relatedness component	FROZEN (proposal; nothing frozen as the split here)	Methods 4.1-4.2; F1d
EMB-G2B	frozen result bundle (BINDING)	results/embed_g2b_frozen_split/	15e00b8	2026-09-18	The frozen split: bipartite RT-cluster x ncRNA-cluster connected components, deterministic 70/15/15 allocation, near-duplicate sensitivity stratum	1,075 components; train 21,647 / val 4,639 / test 4,638 pairs; test 357 components, n_eff 14.1; assignment sha256 78a9556378d4a787...; 32/32 verification checks	relatedness component	FROZEN	Methods 4; F1; consumed unchanged by embed_g2, X1 and X2
EMB-G2	frozen result bundle (CONFIRMATORY)	results/embed_g2_frozen_baseline/	2c9127b	2026-09-18	Confirmatory 50-way retrieval under the 6-rung candidate ladder: trivial baselines vs the regularized-CCA cross-modal probe	M-CCA rung1 MRR 0.4407 [0.4039,0.4772] vs chance 0.0900, permutation p=0.0005; rung3 (type-matched) M-CCA 0.1832 vs B-kmer 0.1534, diff +0.0298 [-0.0048,+0.0633]; rungs 4-6 UNDETERMINED (1, 10, 22 components)	relatedness component (bootstrap over 357)	FROZEN	Results 5; F6b; the basis of the level-1 vs level-2 distinction
EMB-G2C	frozen result bundle	results/embed_g2c_atlas/	9154972	2026-09-18	Descriptive embedding atlas, cross-modal similarity distributions, neighbourhood composition, canonical dimensions, within-type feasibility audit	type-sharing enrichment 5.32x; observed partner median rank 238/2,756; dim-1 canonical correlation 0.9865 with type eta^2 0.809/0.724; type probe accuracy 0.4978 (RT) / 0.6557 (ncRNA) vs 0.2693 majority; 2 of 21 types pass within-type feasibility	sequence / component (descriptive)	FROZEN (descriptive)	Results 5.4; F6a,c; the escalation-feasibility argument
EMB-X1	frozen result bundle	results/embed_x1_conditional_pilot/	8bf7207	2026-09-18	RT-conditioned ncRNA generation pilot: arms U (RNA-only), T (retron-type), R (specific RT); held-out likelihood, counterfactual control, generation analysis	U 1.41097 / T 1.37513 / R 1.35734 nats/nt; R-T -0.01778 [-0.02428,-0.01052], 65.0% of components; near-duplicate sensitivity -0.01809 [-0.02530,-0.00992]; counterfactual +0.013512 [+0.006820,+0.018813]; T4 -0.00776 [-0.01761,+0.00169]	relatedness component (357; T4 83)	FROZEN (PRELIMINARY pilot: one seed, one fold)	Results 6; F3, F4, F5
EMB-X2	running, NOT a result	ARIS_OUTPUT/embed_x2_confirmation/ (scratch, gitignored)	uncommitted	running as of 2026-09-19	Cross-fitted 5-fold component-blocked confirmation with arms U/T/G/R/P and counterfactual tiers C1-C4; frozen DESIGN.md and COUNTERFACTUAL_RULES.md predate any X2 number	PENDING - no result may be quoted. Prospective: T4 n_eff 9.02; cross-fit raises T4 coverage 83 -> 247 components but n_eff 9.0 -> 8.6; Ibex array 52089885, 25 cells	relatedness component (out-of-fold, pooled)	PENDING	Results 7 placeholder; outcome gate X2-A/B/C/D
EMB-REPORT	prior synthesis (not a bundle)	analysis/embedding_rt_ncrna/RT_NCRNA_EMBEDDING_REPORT.md	4f56519	2026-09-18	Track-level narrative report of embed_g0-g2c; the source this workbench audits and re-uses rather than re-derives	all embed_g2 numbers, re-read from the frozen bundles	-	FROZEN (derived document)	Cross-check for every number quoted here
EMB-OC	prior synthesis (not a bundle)	analysis/embedding_rt_ncrna/OPENCRISPR_METHOD_COMPARISON.md	4f56519	2026-09-18	Bounded OpenCRISPR methodological comparison built from the released code and checkpoint; published methods could not be retrieved from this environment	ESM2 esm2_t6_8M_UR50D, d_s_protein 320, 3 decoder layers, 705,930 trainable parameters, 10-token two-segment vocabulary; train/val 88.9/11.1 by batch; no test-loop state	-	FROZEN (derived document); evidence tiers A/B/C	OPENCRISPR_COMPARISON.md
