task_id	anchor_control	n_roots_with_hits	n_path	n_content	n_table_headers	n_parquet_schemas	absence_reportable	example_paths
T-REG2-registry-coverage-validated	NONE	0	0	0	0	0	WEAK - no anchor	
T-REG3-content-hash-pass	NONE	3	0	19	0	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g1_corpus_identity/scripts/assemble.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g1_corpus_identity/scripts/s02_record_census.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/dbchar_workbench_snapshot/exports/RESULTS_database_characterization_DRAFT.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings/results/dbchar_g1_corpus_identity/scripts/assemble.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings/results/dbchar_g1_corpus_identity/scripts/s02_record_census.py
T-REG4-kind-extension-sweep	NONE	13	37	748	9	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/alignment_strategy_comparison.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g2_reference_reconstruction/reference/g2_second_frame_mafft.afa;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/INPUTS.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/README.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_residue_mapper_gate/tables/fresh_lineage_state_to_residue.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g2_reference_reconstruction/tables/g2_parameter_sweep.tsv
T-LINT5-prose-numbers-gated	NONE	0	0	0	0	0	WEAK - no anchor	
T-D1-annotation-disagreement	PASS	13	99	657	24	4	YES	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/INPUTS.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/PROVENANCE.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/PROVENANCE.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/run.sh;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/tables/g6_subtype_disagreement_pairs.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/t43_independent_cds_recount.tsv
T-D2-taxonomic-distribution	PASS	13	85	461	45	5	YES	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/scripts/f03_tools_taxonomy.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/scripts/a05_taxonomy_quality.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/tables/g6_tool_by_database.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g2b_rt_cds_recovery/README.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/t36_ncbi_genus_representation.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/t34_gtdb_prevalence_by_rank.tsv
T-AUDIT2-task-report-backfill	NONE	0	0	0	0	0	WEAK - no anchor	
T-C1-rt-core-extraction	PASS	13	320	813	34	3	YES	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/rt0_test_design.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/INPUTS.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/tables/g6_tool_matrix_by_family.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g2b_rt_cds_recovery/INPUTS.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/tables/measured_values.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/tables/myrt_fragment_vs_full_length_mapping.tsv
T-A16-reciprocal-frame	PASS	10	84	149	0	0	YES	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g4_family_baseline/INPUTS.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g4_family_baseline/PROVENANCE.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/INPUTS.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/INPUTS.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/log.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/DATASET_REGISTRY.md
T-RT07-definition-status	PASS	13	1148	1305	228	3	YES	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_ug25_confirmatory/run_ug25_once.sh;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_ug25_confirmatory/UG25_RESULT.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_ug25_confirmatory/run_ug25_once.sh;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_ug25_confirmatory/UG25_RESULT.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/fig23_pair_topology_recurrence.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/t23_zero_call_by_database.tsv
T-P1-relatedness-backbone	NONE	12	13	373	30	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g6_family_architecture/scripts/s01_clustering.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g6_family_architecture/tables/g6_cluster_family_purity.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/alignment_strategy_comparison.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/tables/common_frame_failure_criteria.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g6_family_architecture/tables/g6_clustering_resource.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g4a_frame_recovery/tables/g4a_family_selection.tsv
T-P2-character-economy-audit	PASS	12	0	672	0	0	YES	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/tables/g6_tool_matrix_retron_all_records.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/tables/g6_extraction_asymmetry.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/errata/g7a_closure_decision_erratum_2026-09-19.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/decisions/2026-09-16_stage2_g4_review_round2_and_repairs.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/EXPERIMENTAL_RT_NCRNA_REGISTER.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/PANEL_LEAKAGE_MAP.tsv
T-P3-relatedness-representation	PASS	10	12	61	0	0	YES	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/tables/balanced_reference_panel_design.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g6_family_architecture/README.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/CURRENT_PROJECT_STATE.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/decisions/2026-09-19_stage2_g6_review_errata.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/NEGATIVE_RESULTS.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/OPEN_QUESTIONS.tsv
T-A0b-lineage-partition-intervals	NONE	8	0	13	0	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/idea-stage/programme/03_blind_motif_discovery.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/references/rt0_rt7/myrt/Suppl_Toro_Tree.txt;RESEARCH-retron-db/data/derived/panel_derivation_v1.tsv;RESEARCH-retron-db/data/derived/panel_heldout_v1.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings/results/embed_g2c_atlas/plotdata/atlas_ncrna.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings/results/embed_g2c_atlas/plotdata/atlas_rt.tsv
T-F1-motif-scan	NONE	12	65	607	73	4	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_ug25_confirmatory/tables/ug25_catalytic_calls.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_residue_mapper_gate/tables/fresh_lineage_catalytic_state.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_ug25_confirmatory/UG25_RESULT.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_ug25_confirmatory/code/ug25_gate.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_ug25_confirmatory/tables/ug25_sequence_results.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_residue_mapper_gate/tables/fresh_lineage_catalytic_state.tsv
