asset_id	citation_or_source	year	evidence_tier	provenance_status	project_path	original_path	sha256	bytes	asset_type	scientific_role	allowed_to_seed_rt07_definition	notes
lit_poch1989	Poch O, Sauvaget I, Delarue M, Tordo N. Identification of four conserved motifs among the RNA-dependent polymerase encoding elements. EMBO J 8(12):3867-3874	1989	TIER1	PROVENANCE_PUBLISHED_SOURCE	references/rt0_rt7/literature/Poch_Sauvaget_Delarue_Tordo_1989_EMBO_J_four_conserved_motifs.pdf	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/MELISSA_DATA/papers_Phylogeny/Poch Sauvaget Delarue Tordo 1989 EMBO J - Identification of four conserved motifs among the RNA-dependent polymerase encoding elements.pdf	f86054ed4a607480a2e9420223a4badd642d1749f78763d4750a686e66a763ae	1864497	pdf_primary_literature	Derivational primary evidence: motif-level definition of the RNA-dependent polymerase core.	YES	PROVIDES: motif evidence (81 'motif' mentions; 34 'motif A-F' labels), consensus blocks (8), alignment discussion (11), 2 explicit residue-coordinate spans. DOES NOT PROVIDE: the literal token 'RT0' (0 occurrences), RT1-RT7 numbering (0), subdomain numbering (0). Terminology is motif A-F, not RT0-RT7.
lit_xiong1990	Xiong Y, Eickbush TH. Origin and evolution of retroelements based upon their reverse transcriptase sequences. EMBO J 9(10):3353-3362	1990	TIER1	PROVENANCE_PUBLISHED_SOURCE	references/rt0_rt7/literature/Xiong_Eickbush_1990_EMBO_J_origin_evolution_retroelements_RT.pdf	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/MELISSA_DATA/papers_Phylogeny/Origin and evolution of retroelements based upon their reverse transcriptase sequences. .pdf	3cec03446dd809a606403a887d55bf36d3f87115973201519c4166a869c264b6	2317347	pdf_primary_literature	Derivational primary evidence: the founding RT alignment/phylogeny frame over 82 retroelements.	YES	PROVIDES: alignment blocks (27 'alignment' mentions), YXDD-class motif anchors (23), cross-element transferability statements (11). DOES NOT PROVIDE: literal 'RT0' (0), RT1-RT7 numbering (0), subdomain numbering (0), explicit residue boundaries for named blocks.
lit_zimmerly2001	Zimmerly S, Hausner G, Wu X. Phylogenetic relationships among group II intron ORFs. Nucleic Acids Res 29(5):1238-1250	2001	TIER1	PROVENANCE_PUBLISHED_SOURCE	references/rt0_rt7/literature/Zimmerly_Hausner_Wu_2001_NAR_group_II_intron_ORF_phylogeny.pdf	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/MELISSA_DATA/papers_Phylogeny/Zimmerly Hausner Wu 2001 NAR - Phylogenetic relationships among group II intron ORFs (defines RT subdomain 0).pdf	67469b685b30b57b60a24e6974e7f3834649b084233236658ac4f8356835689f	1582310	pdf_primary_literature	Derivational primary evidence: the only retained Tier-1 source that numbers RT subdomains and names domain 0.	YES	PROVIDES: subdomain numbering ('subdomains 1-7', 1 occurrence; 'subdomain/domain 0', 4), verbatim 'Subdomain 0 can be considered an N-terminal extension of the RT domain and is conserved among non-LTR RTs', palm/finger terminology (3), YXDD (13), consensus blocks (18), 2 alignment figures. DOES NOT PROVIDE: the literal token 'RT0' (0 occurrences) or the composite 'RT0-RT7' spelling. NOTE: the single 'RT1' regex hit is the gene name C.e.RT1, not a subdomain label.
lit_simon2008	Simon DM, Zimmerly S. A diversity of uncharacterized reverse transcriptases in bacteria. Nucleic Acids Res 36(22):7219-7229	2008	TIER1	PROVENANCE_PUBLISHED_SOURCE	references/rt0_rt7/literature/Simon_Zimmerly_2008_NAR_diversity_uncharacterized_bacterial_RTs.pdf	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/MELISSA_DATA/papers_Phylogeny/A diversity of uncharacterized reverse transcriptases in bacteria .pdf	4db1d884a4cb665314aaa182548d64f09941221e88d6f58bfb107262ce01c876	8855346	pdf_primary_literature	Derivational primary evidence: bacterial RT class census and the terminology carried into later bacterial RT work.	YES	PROVIDES: terminology and class scope, alignment discussion (12), cross-class transferability statements (5), palm/finger terminology (2). DOES NOT PROVIDE: literal 'RT0' (0), RT1-RT7 numbering (0), subdomain numbering (0), explicit boundaries.
lit_blocker2005_structural	Blocker FJH, Mohr G, Conlan LH, Qi L, Belfort M, Lambowitz AM. Domain structure and three-dimensional model of a group II intron-encoded reverse transcriptase. RNA 11(1):14-28, doi:10.1261/rna.7181105	2005	TIER1_STRUCTURAL	PROVENANCE_PUBLISHED_SOURCE	references/rt0_rt7/literature/Blocker_et_al_2005_RNA_group_II_intron_RT_domain_structure_3D_model.pdf	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/MELISSA_DATA/papers_Phylogeny/Domain structure and three-dimensional model of a group II intron-encoded reverse transcriptase.pdf	aa2a24f8f120e6f858e5f09e98833ba66145bf3d9da38849ae4f22b33a5bef1c	1436894	pdf_primary_literature	Structural primary evidence. Role: INDEPENDENT STRUCTURAL INTERPRETATION / VALIDATION and later structural-domain work. NOT evidence for defining the historical SEQUENCE RT0-RT7 frame.	NO	Added by operator amendment 2026-09-15. Deliberately NOT allowed to seed the sequence frame even though it is primary and Tier-1-grade: its contribution is a 3D model and domain architecture, and it is the one retained paper that already uses the modern block spelling, so seeding from it would import the convention being audited. STRING CENSUS (factual): literal 'RT0' 14 occurrences; 'RT1'-'RT7' tokens 38; one 'RT0-RT7' composite; 'RT1 to 7' range 1; 'domain X' 28; fingers/palm/thumb 82; 'subdomain 0' 0 (it writes 'motif RT0' rather than Zimmerly's 'subdomain 0').
hist_toro2014_rt0rt7_fasta	Toro N, Nisa-Martinez R. Comprehensive Phylogenetic Analysis of Bacterial Reverse Transcriptases. PLoS ONE (supplementary sequence set, RT0-RT7 blocks)	2014	TIER2	PROVENANCE_PUBLISHED_SOURCE	references/rt0_rt7/historical/toro_2014_Rt0-Rt7.FASTA	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/references/rt0_rt7/historical/toro_2014_Rt0-Rt7.FASTA	6e43c4ccd3660f4cc1b8c3903ee53cb530552475c2b1d0eef9a55530d08e95b1	1186359	fasta_sequence_set	Published comparator: an existing RT0-RT7 block sequence set to TEST an independently reconstructed frame against.	NO	Comparator only. Carries the inherited RT0-RT7 convention, so seeding a definition from it would make the reconstruction agree with the convention by construction.
hist_toro2014_tableS1	Toro N, Nisa-Martinez R 2014, Table S1 (supplementary table)	2014	TIER2	PROVENANCE_PUBLISHED_SOURCE	references/rt0_rt7/historical/TableS1_Toro_2014.XLSX	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/references/rt0_rt7/historical/TableS1_Toro_2014.XLSX	385e8043f873f56a92cd69c547bf293b41e36413da914360db92756556b68505	153853	xlsx_supplementary_table	Published comparator: supplementary table accompanying the same 2014 RT analysis.	NO	DISCOVERED BY THIS SWEEP; was not previously in the project. Comparator only. Contents not parsed in this task.
mestre_tree_nwk	Mestre MR, Gonzalez-Delgado A, Gutierrez-Rus LI, Martinez-Abarca F, Toro N. Systematic prediction of genes functionally associated with bacterial retrons. Nucleic Acids Res 48:12632-12650 (supplementary tree)	2020	TIER2	PROVENANCE_PUBLISHED_SOURCE	references/rt0_rt7/mestre_2020/Supplementary_mestre_Tree.nwk	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/references/rt0_rt7/mestre_2020/Supplementary_mestre_Tree.nwk	7a9a11296dafa3fff7137bfe51cdd1f1365aa53dc87457400b105e2f7d0134ce	122043	newick_reference_tree	Published comparator: the reference retron RT phylogeny widely reused downstream.	NO	Comparator only.
mestre_supp_sanitised_a	Mestre et al. 2020 supplementary table - header-sanitised variant A	2020	TIER2	PROVENANCE_PUBLISHED_SOURCE	references/rt0_rt7/mestre_2020/supp_material_systematic_prediction_paper.csv	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/references/rt0_rt7/mestre_2020/supp_material_systematic_prediction_paper.csv	6a904dc211bf16d8c1bcf7eb32db743d3f674002f0bfb3a31c6555eb9a2a8daf	305542	csv_supplementary_table	Published comparator: retron/clade/subtype assignment table.	NO	NOT byte-identical to the other two Mestre CSVs: this is a header-SANITISED derivative (headers 'Node,RT_Clade,Retron_subtype,...'). Prefer mestre_supp_original_headers for anything provenance-bearing.
mestre_supp_sanitised_b	Mestre et al. 2020 supplementary table - header-sanitised variant B	2020	TIER2	PROVENANCE_PUBLISHED_SOURCE	references/rt0_rt7/mestre_2020/Supp_material_T1_R1_systematic_prediction.csv	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/references/rt0_rt7/mestre_2020/Supp_material_T1_R1_systematic_prediction.csv	42f05d167b434a16e1faf3bdf49076ce7c454f4745c89c4598f1b2f9db89648f	305541	csv_supplementary_table	Published comparator: retron/clade/subsystem assignment table.	NO	NOT byte-identical to the other two Mestre CSVs: header-SANITISED derivative (headers 'Node,Clade,Retron_subsystem,...'). Column NAMES differ from variant A ('Clade' vs 'RT_Clade', 'Retron_subsystem' vs 'Retron_subtype'); do not join the three on header name.
