id	quantity	definition	measured_value	observable	why	allowable_claim	prohibited_phrasing	unit	denominator
G01	within-family alignment stability	agreement between the MAFFT and MUSCLE alignments of the same derivation set, as median column entropy and column count	median entropy MAFFT 1.00-2.18 vs MUSCLE 0.92-1.74 across the 7 families; column counts differ by 5-34 percent	YES	a direct two-method comparison. It measures METHOD SENSITIVITY, not homology: two aligners agreeing does not make a column homologous, and disagreeing does not make it non-homologous	alignment stability, per family, naming both methods	must not be called homology evidence	alignment column	columns in that family's derivation alignment
G02	candidate anchor evidence, ranked	per column: gap fraction, Shannon entropy, modal residue fraction, context entropy, entropy delta vs MUSCLE	top 40 columns per family landed, ranked continuously	YES	NO PASS THRESHOLD IS APPLIED. The previous round's 90 percent bar was chosen after seeing the distribution and was correctly rejected; g4a ranks and does not cut	candidate anchors ranked by evidence, described qualitatively	no column may be called AN ANCHOR on a g4a threshold, because g4a declares none	alignment column	top 40 per family
G03	catalytic dyad correspondence across families	whether the [YF]xDD in family A's profile consensus aligns to the [YF]xDD in family B's	42 of 42 ordered pairs DYAD_CORRESPONDS at aligned-column offset 0; exactly one dyad motif per consensus in every family	YES	read DIRECTLY from the hhalign consensus alignment, reimplementing nothing. This is the single strongest positive result of g4a	the catalytic dyad is a cross-family homologous anchor, recovered de novo without any myRT or Pfam profile	must not be extended to any other motif without the same test	ordered family pair	42 ordered pairs
G04	between-family profile correspondence	hhalign probability, E-value, score and aligned-column count between de novo profiles	all 42 ordered pairs align; probability 74.2-100.0; best E-value 4.8e-42	YES	profiles built only from g4a derivation alignments of full-length-source proteins	between-family correspondence is supported for every pair tested	a high hhalign probability is profile similarity, not proof of positional homology at any single column	ordered family pair	42 ordered pairs
G05	transitive order consistency	for A to B to C versus A to C, the fraction of positions mapping within +/-2	210 testable triples; mean 88.2 percent consistent; 174 of 210 (83 percent) at or above 80 percent; median offset 0	YES	transitivity is the cheapest available check that pairwise correspondences describe one coherent coordinate system rather than 42 unrelated alignments	transitive consistency of the pairwise correspondences	must not be called accuracy	family triple	210 triples with at least 20 testable positions
G06	supported intersection	per family, consensus positions aligned to ALL 6 partners (GLOBAL_CANDIDATE), to 2-5 (CLASS_LEVEL), to exactly 1 (FAMILY_LEVEL)	GLOBAL 68-160 positions per family; pct_global 18.9 (UG5) to 57.3 (CRISPR); pct_global_or_class 69.1 (UG3) to 99.6 (CRISPR)	YES	the primary g4a output. It emerges from the pairwise data; no target number of regions was set	the size and extent of the empirically supported shared core	must not be described as a number of regions, domains or subdomains	consensus position	positions aligned to at least one partner
G07	global core extent	the consensus-index span occupied by GLOBAL_CANDIDATE positions	spans of 94-201 consensus positions; 64.2-87.3 percent of each span is global	YES	shows the shared core is contiguous-ish rather than scattered	the extent of the shared core in each family's own coordinates	no residue-level boundary is implied by a span	consensus position	the span between the first and last global position
G08	transfer to withheld challenge sequences, as a SCORE	median best bit score of a family's de novo profile against held-out challenge sequences	SELF median 424.1, CROSS median 32.6 - a 13.0x separation. Weakest: UG5 profile on AbiA challenge (median -1.1), GII on UG5 (0.3)	YES	reported continuously	family profiles are strongly family-specific, and cross-family signal is weak but mostly non-zero	must not be called accuracy or validation	sequence	challenge sequences of that family
G09	transfer detection RATE	fraction of challenge sequences detected at hmmsearch --max -E 10	100 percent in 46 of 49 profile-by-family cells	NO - NEAR CEILING	FLAGGED IN THE TABLE ITSELF as NON_DISCRIMINATING. At --max -E 10 essentially every RT is detected by essentially every RT profile, so the rate cannot fail and carries almost no information. It is retained for completeness and must not be quoted as evidence of transfer	nothing. Use G08	this rate may not be presented as transfer performance	sequence	challenge sequences
G10	held-out integrity	whether a challenge sequence's own family profile was built without it	YES by construction - whole cd-hit clusters at 0.50 were assigned to roles, so no challenge sequence has a >=50 percent identity relative inside derivation	YES	the previous review's objection was that a held-out FAMILY is not held out while its myRT profile survives. g4a builds every profile itself from derivation sequences only, so there is no external profile to leak	sequence-level holdout is genuine	a held-out FAMILY is still not tested here: every family contributes a profile. Only SEQUENCES are held out	sequence	challenge sequences
G11	biological presence or absence	whether a family genuinely lacks a feature	NOT MEASURED	NO	unchanged across four reviews	nothing	absent, lost, lacks, missing	n/a	n/a
G12	exact biological boundaries	true start and end of any region	NOT MEASURED	NO	unchanged and not reopened	nothing	BOUNDARY_ACCURACY and BOUNDARY_CALIBRATION remain UNESTABLISHED	n/a	n/a
G13	whole-family transfer	mapping a family never seen in derivation	NOT MEASURED	NO - BY DESIGN	all 7 families contribute a derivation profile, so no family is withheld. Testing this needs an 8th family held out entirely, which g4a did not do	nothing	must not claim family-level generalisation	n/a	n/a
G14	N-terminal sequence outside the inferred core	residues N-terminal to the first globally supported consensus position	NOT COMPUTED IN g4a	PARTIAL	the global core spans are landed per family, so this is computable, but it was not predeclared and is not reported here rather than being added after seeing the results	nothing yet	no RT0 label on any N-terminal sequence	residues	n/a
