task_id	state	launchable	failed_checks
T-REG-asset-registration	REVIEW_FAILED	False	state_authorized
T-LINT-prose-numbers	SUPERSEDED	False	state_authorized
T-A0-lineage-variance	ACCEPT_WITH_CHANGES	False	state_authorized
T-A2-ladder-population	ACCEPT_WITH_CHANGES	False	state_authorized
T-A23-crosspair-curation	REVIEW_FAILED	False	state_authorized
T-A16-reciprocal-frame	AWAITING_SPECIFICATION	False	state_authorized
T-A5b1-rtdna-anchors	AWAITING_SPECIFICATION	False	state_authorized;no_unresolved_criteria;worktree_exists
T-A5b2-ncrna-architecture	HELD	False	state_authorized;worktree_exists;dep_satisfied:T-A5b1-rtdna-anchors
T-A1-absolute-baselines	DRAFTED	False	state_authorized;launcher_present
T-A6-fixed-locus-carriage	DRAFTED	False	state_authorized;launcher_present
T-A10-genomic-architecture	DRAFTED	False	state_authorized;launcher_present
T-A3a-rule-and-e0-freeze	AWAITING_ADOPTION	False	state_authorized
T-A7-stage3a-positive-control	HELD	False	state_authorized;launcher_present
T-A17-core-sensitivity-arm	HELD	False	state_authorized;launcher_present
T-A19-withheld-model-control	HELD	False	state_authorized;launcher_present
T-A20-pair-expansion	HELD	False	state_authorized;launcher_present
T-A22-functional-contrast	HELD	False	state_authorized;launcher_present
S09-coevolution	CLOSED_CURRENT_EVIDENCE	False	state_authorized;launcher_present
S07-spire-rerun	CLOSED_CURRENT_DESIGN	False	state_authorized;launcher_present
T-LINT2-prose-numbers-gated	COMPLETE_AWAITING_REVIEW	False	state_authorized
