source	path	sha256	bytes	read_this_session	what_it_establishes_that_stage3a_must_preserve
STAGE_BRIEF	/home/borg/RETRON_STAGES/04_palm_fingers_thumb_yxdd.md	5548025844077708e5d3760a53ee2b63a849d784fb0649434ad4a1d36a466de5	13752	YES	prose plan; orientation only - four of its factual statements were refuted by the asset audit and are NOT inherited
ASSET_REGISTER	analysis/prior_asset_audit/ASSET_REGISTER.tsv	88955fc25273eef9d41317d72e340c9b962f9ad0eec564595ddd934f504d636c	89563	YES	90 audited assets; reference_boundaries.* graded RED; s6b_gateS_LDD.py forbidden; foldseek builds and FoldMason MSAs graded
PATH_REGISTER	analysis/prior_asset_audit/PATH_REGISTER.tsv	1c53109a6be1f7a2d16683d3399b87af71fa764d4b496bb759f6d50b3eea122e	7741	YES	30 absolute paths with sizes and hash state for the heavy historical assets
REUSE_DECISIONS	analysis/prior_asset_audit/REUSE_DECISIONS.md	ef732fa6e40de8fa1a88fd0561b0ff30b2b8746728307fa990f5c09e480bf864	31632	YES	palm had positive structural logic; fingers and thumb were RESIDUAL flanks; thumb was never measured; DSSP-vs-PSEA edge agreement is the usable uncertainty model
HISTORICAL_CROSSCHECK	analysis/prior_asset_audit/HISTORICAL_CROSSCHECK_2026-09-18.md	43b780aae942256efada2234f03d65212ed1e0415b406f48a2fa626dbeacced5	15742	YES	MAY script identities; foldseek/HHblits parameters recovered; depth-1 A3M caveat; reference_boundaries_24_116.json absent
STAGE3B_TRUTH	analysis/stage3b_design/TRUTH_TABLE.tsv	35cbba7cf9223f506fe57827c70bb627b33cf2ad39f90be17978feadf1d887c2	29656	YES	the audited 62-chain / 31-group experimental population and its provenance - reused as POPULATION only, never as boundary input
STAGE3B_GROUPS	analysis/stage3b_design/REPLICATE_GROUPS.tsv	a4e6ca2598c822dc84c3d08eef689b629b0bb475d035e32bb54f798ddc2ecd4c	4599	YES	biological-sequence grouping at 90 pct identity and 30 pct relatedness clusters
STAGE3B_CLOSURE	analysis/stage3b_design/G2_DECOY_AUDIT_AND_K5_CLOSURE.md	9bf814d78082a92b638fe338573420cc4b0465170280fcf9865ede4e5f9c4613	9536	YES	Stage 3B CLOSED at PARTIAL; its catalytic outputs are forbidden as Stage 3A boundary inputs
HISTORICAL_BOUNDARIES	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/MELISSA_DATA/crystal_structures/reference_boundaries.tsv	5a1e966257a0730298f4b7335795abf4c2bb1968cab548dd896d942fc000ad14	4061	YES	RED. Retained ONLY as an external historical comparison layer, never as truth
MAY_EXTRACT_BOUNDARIES	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/MELISSA_SCRIPTS/custom_and_hmm_analysis/extract_reference_boundaries_v5.py	d804ebec95db5e9d8f494daabc142879ec63fb9414750f1415221a0fd50a37f8	66062	YES	the producer of the RED table; anchors on 5HHJ with hardcoded boundaries - the single-anchor design Stage 3A must not repeat
MAY_FIND_RT_REFERENCES	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/MELISSA_SCRIPTS/custom_and_hmm_analysis/pdb_database_test.py	4627ec6a4d79253496e7257f77fe16b78162dfab5075488365ce51b7bb04eb01	57116	YES	the historical inclusion rule: RCSB name match AND Bacteria/Archaea, 3.5 A DSSP cutoff, 0.95 dedup
MAY_ANNOTATE_RT_DOMAINS	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/MELISSA_SCRIPTS/custom_and_hmm_analysis/annotate_rt_domains_v5_.py	5f2229d107120bc417bb2a1814369cefa1196e9e8c277e2a6bdd6ee058a76193	79425	YES	historical transfer engine; foldseek easy-search params recovered; transfers boundaries by best-hit similarity - the step Stage 3A must improve on
MAY_HHBLITS_DB	/home/borg/RESEARCH-in-sleep-RETRON-DB/MELISSA_SCRIPTS/annotate_RT_domais/hhblits_create_bd_.sh	f250d6ede62066244ccd869533b2c93a7618bd26712694e9b4a9bbc6b033c4a9	9175	YES	HHblits DB construction; A3Ms built from SINGLE sequences - depth-1, not evolutionary profiles
MAY_FAMILY_DRIVER	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/MELISSA_SCRIPTS/custom_and_hmm_analysis/build_subdomain_hmms2.sh	5c5898332ea5a5e6ff2aa632619e1acfc66be44e615241464579051844755fb3	3140	YES	SLURM driver, builds no HMMs; later version of the MAY build_subdomain_hmms.sh
MAY_RUN_FAMILY_ANNOTATION	/home/borg/RESEARCH-in-sleep-RETRON-DB/MELISSA_SCRIPTS/annotate_RT_domais/run_family_annotation.sh	e4c9236bcbd7998a9872dc24c0552527ac9a573f5cd186d516bb93a64834744f	1652	YES	earlier truncated variant of the same driver; names reference_boundaries_24_116.json which is ABSENT locally
