asset_id	path	kind	language	bytes	sha256_prefix	role	exec_order	invoked_by	external_tools	databases_refs_needed	hardcoded_paths	inputs	outputs	key_parameters	stochastic	manual_steps	executable_as_released	complete_from_raw_inputs	used_in_this_audit	notes
ARCHIVE	SPIRE_retron_pipeline_scripts.zip	zip archive	-	21183	3d4a99b21b818ec5	release bundle (12 members)	-	-	-	-	-	-	-	-	-	-	-	-	read-only; unpacked to ARIS_OUTPUT/spire_ncrna_audit/unpacked (chmod a-w denied by permission layer; integrity checked by hash instead)	original at /home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-asset-audit/references/rt0_rt7/toro_2026/ (asset-audit worktree); never modified
S00	spire_pipeline_scripts/00_run_full_pipeline.sh	driver	bash + inline python	7295	a33d4b9b0cd3d267	master driver: steps 1–7 (general HMM screen, optional new HMM, 02, k141_/k119_ contig filter, 01, mmseqs, hmmscan Pfam, 03, 05, 06)	0	user	hmmsearch; mafft; hmmbuild; mmseqs easy-cluster; hmmscan; python3	SPIRE proteins (spire_all_proteins.faa); general_retron_RT.hmm; type_specific/ HMM dir; mestre_1928_refs.fasta; Prodigal GFF dir; contig_to_gff.tsv; Pfam-A.hmm	BASE=/home/ntoro/spire/retron_pipeline_v2; GFF_DIR=/home/ntoro/spire/representative_genomes/prodigal_gff; CONTIG_GFF_MAP=/tmp/contig_to_gff.tsv	see databases	general_screen.tbl; master_candidates_*.tsv; neighbourhood/; stats/	SCORE_THRESHOLD=160; THREADS=16; mmseqs --min-seq-id 0.30 -c 0.80	none	yes: NEW_LINEAGE_REFS; later steps need files no script produces	NO — fails at STEP 3 (writes ${OUT_DIR}/tables/ without mkdir) and STEP 5 (mmseqs input neighborhood_pm2_proteins.fasta is never written by 01); STEP 6 input accessory_cluster_membership_with_loci.tsv produced by no script	NO	read only (out of scope per operator ruling)	never calls 04 or 07 — the ncRNA path is disconnected from the driver; passes the full proteome (not the ≥160-bit candidates) to 02
S01	spire_pipeline_scripts/01_extract_neighborhood.py	neighbourhood extraction	python	5862	284109dcb00a0677	±5 / ±2 gene neighbourhood from Prodigal GFF	5	S00	none	Prodigal GFF; contig→GFF map	none	master TSV (protein_id, group); GFF	flanking_broad.tsv; flanking_tight.tsv	--window_broad 5; --window_tight 2	none	none	PARTIAL — docstring promises neighborhood_pm2_proteins.fasta but protein_seqs is never filled or written	NO	read only (out of scope)	gene numbering parsed from Prodigal ID suffix; no nucleotide output — cannot feed 04
S02	spire_pipeline_scripts/02_hmm_calibrate_and_classify.py	type-specific HMM calibration + best-hit classification	python	5939	6be536115dd3d0b5	threshold=(pos_min+neg_max)/2 per HMM; best-scoring HMM = group; tiers high/low(≥160)/borderline	3	S00	hmmsearch	mestre_1928_refs.fasta with IDs prefixed 'group|' (UNRELEASED); type-specific HMMs (released in tarball)	none	HMM dir; refs FASTA; candidates FASTA	thresholds.tsv; master_candidates_classified.tsv	hmmsearch default E; best-hit	none	none	YES in form; NO in substance (refs FASTA unreleased); os.makedirs only for thresholds dir	NO	read only (out of scope per operator ruling 2026-09-18; a grouping run was prepared and withdrawn before execution)	released calibration_thresholds.tsv shows 17/29 types with neg_max > pos_min (threshold lies between overlapping distributions)
S03	spire_pipeline_scripts/03_accessory_enrichment.py	accessory enrichment	python	4605	f0be410fe540c4ab	Fisher exact per (group, cluster); BH FDR	6	S00	none (scipy, statsmodels)	accessory_cluster_membership_with_loci.tsv (produced by no script)	none	membership TSV; master TSV	enrichment TSV	FDR<0.05; OR>2	none	membership table built manually	YES given inputs	NO	read only (out of scope)	-
S04	spire_pipeline_scripts/04_extract_flanking_upstream.py	upstream sequence extraction	python	4205	b6a16d4ef95fb187	fixed window 5′ of RT start codon, RT strand (revcomp if −)	manual (after 00)	user	none (biopython)	annotated GenBank with RT CDS labelled 'RT' in note/gene (UNRELEASED, produced manually); optional ID filter list	none	--gbk; --window; --filter_ids	upstream_<W>bp.fasta	--window default 270 (README/07: 300; 600 mentioned); skip if <50 nt; no CDS masking	none	YES: building the annotated GenBank; choosing ID subsets	PARTIAL — GenBank mode only; '--master/--gff_dir' mode raises ValueError('Direct GFF mode not yet implemented')	NO	logic reimplemented from the raw corpus in scripts/windows.py (RT-relative −300…−1, RT strand)	window ends at the start codon: any ncRNA part inside the RT ORF is truncated by construction
S05	spire_pipeline_scripts/05_taxonomic_stats.py	taxonomic / ecological statistics	python	5347	d7084fbed4ab0f50	chi², Pearson residuals, Gini–Simpson per group	6	S00	none	master TSV must carry phylum, biome_top (joined by no script)	none	master TSV	taxo stats TSVs	min_group_n 5; min_cat_n 5	none	metadata join manual	YES given inputs	NO	read only (out of scope)	-
S06	spire_pipeline_scripts/06_novelty_prioritization.py	novelty scoring	python	5556	933a13b1a8ca9b8a	5 criteria × 0–3; priority high/medium/low/none	7	S00	none	outputs of 03, 05	none	master; enrichment; residuals	novelty_scores.tsv	thresholds in code	none	YES: 'score_phylo' is a proxy (= confidence score, so confidence counted twice) — 'update manually after inspecting EPA-ng tree'	YES given inputs	NO	read only (out of scope)	EPA-ng / IQ-TREE / Gappa placement is not scripted anywhere
S07	spire_pipeline_scripts/07_run_mlocarna_rscape.sh	de novo ncRNA discovery wrapper	bash + inline python	4904	e60aaae40ff9f28d	mLocARNA structural alignment → R-scape covariation → summary	manual (after 04)	user	mlocarna; rscape; python3+numpy; (r2r, cmbuild, cmcalibrate suggested, not run)	none	none	one FASTA of ≤~40 upstream windows per 'lineage'; outdir; label; threads	mlocarna/results/result.stk; rscape/*.cov; printed summary	mlocarna --stockholm --plfold-span 400 --min-prob 0.03 --indel -4 --indel-open -400 --max-diff 100 --max-diff-am -60 --alifold-cons; rscape -E 0.05; warn >60 seqs; warn gap fraction >0.60	mLocARNA deterministic for fixed input order; R-scape null simulation seeded by default (reproducible)	YES: choose the ≤40 sequences ('consider filtering by motif presence'); read R2R figure; judge obs/exp>1.1; define boundary; build CM	YES with env fixes: (1) bioconda binary is 'R-scape' not 'rscape'; (2) python3 must have numpy; '--alifold-cons' and '--indel-open' resolve only by Getopt prefix abbreviation of --alifold-consensus-dp / --indel-opening	n/a (needs a hand-made FASTA)	RUN VERBATIM as Arm A (two PATH shims only)	BUG: summary parses E-value from column 7 of .cov (= substitutions), so it reports 0 significant pairs whenever R-scape finds some (toy: 2→0; POS_XIII_1: 24→0). BUG: obs/exp lines are searched in *.surv, which never contains them (they are in R-scape stdout). No boundary is assigned anywhere.
S08	spire_pipeline_scripts/README.md	documentation	markdown	4428	e0110f4f1b7ea46d	overview, versions, parameters	-	-	-	-	-	-	-	general 160 bits (114 for divergent); mLocARNA ≤40 seqs; R-scape E<0.05; ncRNA signal obs/exp>1.1×	-	-	-	-	read	versions claimed: HMMER 3.3, MAFFT 7.490, IQ-TREE2 2.3.2, Infernal 1.1.5, CMfinder 0.4, mLocARNA 2.0.1, R-scape 2.0.4, HHsuite 3; EPA-ng/MMseqs2 'latest'
