parameter	value	role	predeclared	justification	sensitivity_tested	effect_on_conclusion
min_sequence_length_aa	250	implementation_choice	NO in the original bundle; YES here	a floor to exclude probable fragments. It is NOT a completeness test - the collection has no per-protein completeness field, which the reviewer noted. Chosen as slightly above the myRT RVT_1 seed median (201 aa) so a sequence retaining only the domain is still admitted	NO	NONE on the qualitative conclusion: it changes which sequences are eligible, not whether cross-family correspondence exists. Raising it would shrink small families first
hhmake_M	50	implementation_choice	YES - PREDECLARATION_ADDENDUM_2 s5	CORRECTED 2026-09-16 (errata A8): previously recorded as algorithmic_default. HHmake's DOCUMENTED default is -M a2m, so -M 50 is a deliberate choice controlling match states and therefore the frozen frame	YES - see g4a_hhmake_M_sensitivity.tsv	MATERIAL: -M 50 and -M 60 agree (7.5-27.5 vs 7.3-25.8 pct of full consensus) but under -M a2m DGRs and AbiA retain ZERO ALL_PARTNERS positions while GII retains 115. The shared core is NOT robust to the match-state convention; see errata record 2026-09-16_stage2_errata_A_C_and_narrowed_claim.md Repair C
hmmsearch_E	10	numerical_convenience	NO in the original bundle; YES here	deliberately permissive so the bit-score DISTRIBUTION is not truncated. The detection RATE at this setting is explicitly marked NON_DISCRIMINATING and is never used as success evidence	NO - not needed; the reported quantity is the score, which is independent of the reporting threshold	NONE. The reported statistic is the median best bit score
transitivity_tolerance	+/- 2 positions	scientific_threshold	NO in the original bundle; YES here	a coordinate tolerance for calling two mappings consistent. This is the one parameter that is genuinely a scientific choice	YES - see sensitivity rows below	SMALL. See the tolerance sweep
triple_min_positions	20	numerical_convenience	NO in the original bundle; YES here	excludes triples with too few comparable positions to be meaningful	YES - measured: the filter excludes ZERO triples of 210, so it is inert on this data	NONE - inert
link_identity	0.30	scientific_threshold	YES - PREDECLARATION_REPAIRED.md 2	the split-separation rule. Chosen STRICTER than the 0.50 level whose violation was found, so the repaired claim is stronger than the failed one. Not tuned afterwards	NO - deliberately not swept, because sweeping a separation threshold until a split appears is the outcome-driven tuning this repair exists to remove	DECISIVE on split feasibility: at this rule 5 of 7 families do not fragment at all
link_coverage	0.50	scientific_threshold	YES - PREDECLARATION_REPAIRED.md 2	bidirectional coverage leg of the same rule	NO - same reason	as above
pilot_cap	90	implementation_choice	YES in the original predeclaration	bounds the pilot	n/a	NONE on kind; the original bundle VIOLATED it (GII 111, DGRs 97) and that violation is recorded in the audit table
SENSITIVITY.transitivity_tolerance	+/- 0	scientific_threshold	YES	bounded sweep of the one genuinely scientific free parameter	YES	pooled consistency 82.5% over 210 triples, 115 triples at or above 80%
SENSITIVITY.transitivity_tolerance	+/- 1	scientific_threshold	YES	bounded sweep of the one genuinely scientific free parameter	YES	pooled consistency 87.0% over 210 triples, 145 triples at or above 80%
SENSITIVITY.transitivity_tolerance	+/- 2	scientific_threshold	YES	bounded sweep of the one genuinely scientific free parameter	YES	pooled consistency 88.9% over 210 triples, 160 triples at or above 80%
SENSITIVITY.transitivity_tolerance	+/- 3	scientific_threshold	YES	bounded sweep of the one genuinely scientific free parameter	YES	pooled consistency 91.7% over 210 triples, 184 triples at or above 80%
SENSITIVITY.transitivity_tolerance	+/- 5	scientific_threshold	YES	bounded sweep of the one genuinely scientific free parameter	YES	pooled consistency 94.5% over 210 triples, 199 triples at or above 80%
