source_citation	pmid	pmcid	doi	retrieval_status	why_used_or_not	cache_file	sha256
Inouye S, Hsu MY, Xu A, Inouye M. Highly specific recognition of primer RNA structures for 2'-OH priming reaction by bacterial reverse transcriptases. J Biol Chem 1999;274:31236-31244.	10531319		10.1074/jbc.274.44.31236	ABSTRACT_ONLY	PRIMARY experiment behind region Y (and, per later reviews, the region X deletion). Full text blocked: jbc.org, sciencedirect.com and linkinghub all returned HTTP 403 (Cloudflare); not in PMC; Unpaywall/OpenAlex list only the publisher landing page as OA location. Abstract used as evidence; all region X/Y labels attributed to this paper are UNVERIFIED.	abs_10531319.txt	7edb3cbcf6319b8fa418528207bf8eba99a3d00c4606bd8ca6c434559db9ce02
Inouye M, Ke H, Yashio A, Yamanaka K, Nariya H, Shimamoto T, Inouye S. Complex formation between a putative 66-residue thumb domain of bacterial reverse transcriptase RT-Ec86 and the primer recognition RNA. J Biol Chem 2004;279:50735-50742.	15371452		10.1074/jbc.M408462200	ABSTRACT_ONLY	PRIMARY source of the only residue-numbered C-terminal intervals (Ec86 255-320; Ec73 251-316) and of the 'thumb' terminology for that element. Full text blocked (same 403s).	abs_15371452.txt	51dde48f9e39d9e53c643ea15ec49348400f1ee2aa4727cae0976b6a63785f6e
Lampson BC, Inouye M, Inouye S. Retrons, msDNA, and the bacterial genome. Cytogenet Genome Res 2005;110:491-499.	16093702		10.1159/000084982	ABSTRACT_ONLY	Cited by Simon & Zimmerly 2008 as THE source of the retron-specific regions X and Y, and by Simon et al. 2019 for the region Y definition. karger.com returned 403 (JS/Cloudflare challenge); not in PMC. Whether this review coined the labels COULD NOT BE VERIFIED. Abstract does not mention X or Y.	abs_16093702.txt	a59dcdb8834c1523a17af0fdc3676b46052f9a70194a21746328ec43866a11f2
Simon DM, Zimmerly S. A diversity of uncharacterized reverse transcriptases in bacteria. Nucleic Acids Res 2008;36:7219-7229.	19004871	PMC2602772	10.1093/nar/gkn867	FULL_TEXT	Earliest RETRIEVED text using 'regions X and Y' for retrons; attributes them to Lampson et al. 2005 and the Y function to Inouye et al. 1999. Also states group II 'domain X' = thumb (terminology hazard).	PMC2602772.txt	01fbf95b6bc2644929d4ea160c56756548790be7d8b3b813e0435d9bfe60c651
Toro N, Nisa-Martinez R. Comprehensive phylogenetic analysis of bacterial reverse transcriptases. PLoS One 2014;9:e114083.	25423096	PMC4244168	10.1371/journal.pone.0114083	FULL_TEXT	Source of the 59%/100%/87%/62% and 47%/26% numbers. NOTE: journal is PLoS One, not Front Microbiol as the project's secondary notes state.	PMC4244168.txt	6f0c5bba9acb511de0d0bc70484c06ec1974e22e7a3c5302f7ab3f7674c3c2f6
Simon AJ, Ellington AD, Finkelstein IJ. Retrons and their applications in genome engineering. Nucleic Acids Res 2019;47:11007-11019.	31598685	PMC6868368	10.1093/nar/gkz865	FULL_TEXT	The operational definitions of region X (~16 aa, between motifs 2 and 3) and region Y (~90 aa, VTG to C-terminus) that all later papers reuse; reports the Inouye 1999/2004 experiments second-hand, with residue numbers.	PMC6868368.txt	177d676c2c43c9d2a822ace8b58332b3ffe8e306723d39fa401c527ff7178ba3
Mestre MR, Gonzalez-Delgado A, Gutierrez-Rus LI, Martinez-Abarca F, Toro N. Systematic prediction of genes functionally associated with bacterial retrons... Nucleic Acids Res 2020;48:12632-12647.	33275130	PMC7736814	10.1093/nar/gkaa1149	FULL_TEXT	Source of the exact wording used in the project's secondary notes; cites only Simon et al. 2019 for X and Y.	PMC7736814.txt	e79a219aea3a7b42f2be034ddbf756c764ca19a06eb8f8f32935f0676378993e
Mestre MR, et al. Prokaryotic reverse transcriptases: from retroelements to specialized defense systems. FEMS Microbiol Rev 2021;45:fuab025.	33983378	PMC8632793	10.1093/femsre/fuab025	FULL_TEXT	Later review; VTG in RT motif 7 as the retron signature at scale.	PMC8632793.txt	8c3e9dad16a7159e744f3fdc7694ea08460cacc08c1214b3ab77a1731a3df25e
Wang Y, et al. Cryo-EM structures of Escherichia coli Ec86 retron complexes... Nat Microbiol 2022;7:1480-1489. [PDB 7V9U, 7XJG]	35982312		10.1038/s41564-022-01197-7	FULL_TEXT	Only structure paper found that explicitly names regions X and Y, with Ec86 residue numbers, plus the RSLb-thumb contact residues. Retrieved from nature.com HTML.	wang2022_natmicrobiol.txt	ed884d8e1ec8788299a7735f2422690f801903da132e091d7aa482716909e2ae
Zhang J, et al. Phage nuclease-mediated defense activation of the bacterial Retron-Eco7 toxin-antitoxin system. Nucleic Acids Res 2025. [PDB 9VHE etc.]	41277685	PMC12640716	10.1093/nar/gkaf1173	FULL_TEXT	Residue numbers for NAxxH (82-86) and VTG (236-238) in RT-Eco7; both flank YADD.	PMC12640716.txt	53017da5fa5d3800fc9455ba84864822a79e5764d86f913b2cee1ca82479bd0b
