method	input_requirement	prior_retron_knowledge	structural_evidence	boundary_output	expected_failure_mode	independence_from_CM
PADLOC/Infernal CM route (padlocdb.cm, 21 models; corpus calls)	nucleotide window; best hit per annotated intergenic region	high: 21 CMs built by CMfinder on Mestre 2020 clade-grouped upstream windows; model = clade label	single-sequence alignment to a covariance model (sequence + consensus structure); E-value	exact hit coordinates and strand	misses lineages unlike the training clades; cannot report ncRNAs overlapping a CDS (all calls intergenic); boundary jitter per model; types without a model (XI, XII, VI, VII, VIII, X) uncovered	— (is the reference)
Existing integrated RT–ncRNA pairs (rt_ncrna_pairs_v1; tiers T1–T4)	CM call + RT anchor in one record	inherits the CM route; tiers add architecture (same strand, upstream, no CDS between, ≤200 bp) and E ≤ 1e-5	as CM route	CM coordinates; signed RT distance	as CM route; T2/T3 exclude atypical architecture by construction	none (derived from CM calls)
Canonical oriented ncRNA dataset (rt_ncrna_oriented_v1, 16,458 exact ncRNAs)	the pairs above	as CM route	none added (sequence export)	CM coordinates	as CM route	none
Operator's 977 validated boundary set (not located; closest h5ad sets)	±200 nt context around a known ncRNA	RT protein matched to Mestre 2020; ncRNA mostly an Infernal/padlocdb call (validated_ncrna True for 165 of 936)	RNAfold/bpRNA single-sequence annotation	ground-truth start/end within context	not independent truth for a CM-vs-de-novo question; context is ncRNA-centred (a de novo method would be seeded by the answer)	low
Rfam structured-ncRNA negatives (1,230; incl. Group-II intron)	isolated ncRNA ± 200 nt	none	Rfam family membership	Rfam coordinates	no RT anchor, so an RT-anchored comparative method cannot be applied; replaced in-method by CTRL_GII_HARD	n/a
SPIRE Arm A (07 verbatim: mLocARNA + R-scape; our window/grouping/boundary rules)	RT anchor; 300 nt 5′ of start codon; ≥5 homologous windows (our rule; SPIRE: ≤40, no minimum)	grouping only (SPIRE: type-HMM lineage; ours: RT50 protein cluster). No ncRNA coordinates, CM or motif	multiple-sequence covariation (R-scape GTp, phylogeny-aware null) on an alifold consensus of a structural alignment	none in SPIRE; ours: union of covariation-supported helices, projected per member	low diversity → no power; global alignment of divergent 300 nt windows → poor columns; ncRNA parts inside the RT ORF or beyond 300 nt unreachable; SPIRE's obs/exp > 1.1 rejects sets where covariation merely matches power	high for evidence; shares the CMfinder-era paradigm (clade-grouped upstream windows)
Arm B-struct (CaCoFold on Arm A's alignment)	same sets and windows as A	same as A	covariation-constrained CYK fold (all significant pairs forced; powered non-covarying pairs forbidden)	ours: union of CaCoFold helices with ≥1 covarying pair	inherits alignment errors of mLocARNA; adds unsupported thermodynamic helices (excluded by the rule)	high
Arm B-seq (MAFFT L-INS-i → CaCoFold)	same sets and windows as A	same as A	as B-struct, on a structure-free alignment	as B-struct	sequence alignment can misalign compensatory changes and lose covariation; conversely it cannot manufacture pairing	high
P0 positional baseline (fixed median A_T3 interval, loci outside the benchmark)	RT anchor only	uses the population's typical ncRNA position (yardstick, not a method)	none	fixed interval	cannot find anything atypical; measures how much of the score is just 'ncRNAs sit upstream'	n/a (uses CM-derived positions)
Infernal cmsearch with padlocdb.cm at relaxed E ≤ 10 (post-hoc, pilot only)	candidate window	as CM route	as CM route	hit coordinates	diagnoses whether a CM-negative locus was merely sub-threshold	none (it is the CM)
RNAfold MFE (single sequence, post-hoc)	candidate span	none	thermodynamics only, no evolution	none (reported as ΔG)	any GC-rich span folds; no evidence of conservation	high but weak
