task_id	title	stage	state	tier	compute	batch	hard_deps	populations_touched	notes
T-REG-asset-registration	Register the discovered asset base	S00	REVIEW_FAILED	B	ZERO	1	-	none	155.6 GB / 20,765 collections from ASSET_SWEEP.tsv; categorise ASSET vs BOUNDED_NEGATIVE vs UNVERIFIED_CONCLUSION | BATCH1 COMPLETE, gate-verified by coordinator, awaiting independent review of BATCH_ONE_SYNTHESIS.md | INDEPENDENT REVIEW REVIEW_FAILED (thread 01a0bc53, verdict at review-stage/BATCH_ONE_INDEPENDENT_REVIEW_VERDICT.md) | DISPOSITION_01: raw inventory KEPT as an asset; the 0.217% registry-coverage endpoint WITHDRAWN (no operator decision preserved it). Successors T-REG2/T-REG3/T-REG4 registered
T-LINT-prose-numbers	Numeric-provenance CANDIDATE linter (triage, not a gate)	S00	SUPERSEDED	A	ZERO	1	-	none	TRIAGE only: numeric equality is not provenance. Positive control = must flag the 3 known defects; negative control = a coincidental match must be reported as COINCIDENTAL_MATCH. Mode B scans reporting scripts separately | BATCH1 COMPLETE, gate-verified by coordinator, awaiting independent review of BATCH_ONE_SYNTHESIS.md | INDEPENDENT REVIEW REVIEW_FAILED (thread 01a0bc53, verdict at review-stage/BATCH_ONE_INDEPENDENT_REVIEW_VERDICT.md) | superseded by T-LINT2-prose-numbers-gated, a new task inheriting this record per TASK_PROTOCOL section 4. Artifacts retained, not consumable
T-A0-lineage-variance	Lineage-clustered variance for X2	S10	ACCEPT_WITH_CHANGES	A	ZERO	1	-	PAIR-ELIG inspected (already exhausted)	decides whether the exact-RT residual is a claim | BATCH1 COMPLETE, gate-verified by coordinator, awaiting independent review of BATCH_ONE_SYNTHESIS.md | INDEPENDENT REVIEW ACCEPT_WITH_CHANGES (thread 01a0bc53, verdict at review-stage/BATCH_ONE_INDEPENDENT_REVIEW_VERDICT.md) | CORRECTION_01 landed and independently re-reviewed (Codex 01a0bc96, ACCEPT_WITH_CHANGES, all 7 required changes applied). Result is a TYPE-BLOCKED bound; C-28 unresolved; lineage level ABSENT, successor T-A0b registered
T-A2-ladder-population	Counterfactual ladder on a fixed population	S10	ACCEPT_WITH_CHANGES	A	ZERO	1	-	PAIR-ELIG inspected (already exhausted)	corrects a published shape | BATCH1 COMPLETE, gate-verified by coordinator, awaiting independent review of BATCH_ONE_SYNTHESIS.md | INDEPENDENT REVIEW ACCEPT_WITH_CHANGES (thread 01a0bc53, verdict at review-stage/BATCH_ONE_INDEPENDENT_REVIEW_VERDICT.md) | CORRECTION_01 landed and independently re-reviewed (Codex 01a0bc97, ACCEPT_WITH_CHANGES, all 7 applied). SCIENTIFIC_OUTCOME corrected SUPPORTS_H1 -> DESCRIPTIVE. Three axes vary across tiers, one was fixed. Successor T-A2b registered
T-A23-crosspair-curation	Literature curation of cross-pair outcomes	S12	REVIEW_FAILED	B	ZERO	1	-	none	decides whether stage 12 exists; named target is a published 7x7 editing matrix | BATCH1 COMPLETE, gate-verified by coordinator, awaiting independent review of BATCH_ONE_SYNTHESIS.md | INDEPENDENT REVIEW REVIEW_FAILED (thread 01a0bc53, verdict at review-stage/BATCH_ONE_INDEPENDENT_REVIEW_VERDICT.md) | DISPOSITION_01: curation KEPT as an UNPROMOTED asset; 56 refused as a headline, 7 experimental blocks is the defensible count; positive control was circular; Stage 12 NOT opened and its floor was never declared. Successors T-A23b/c/d/e registered
T-A16-reciprocal-frame	Reciprocal family-frame RT core content	S02	AWAITING_SPECIFICATION	A	CPU_SMALL	2	-	exact-RT catalogue inspected	an existing 7-family table is the asset; settles a headline confound
T-A5b1-rtdna-anchors	Experimental RT-DNA coordinate anchors	S08	AWAITING_SPECIFICATION	A	CPU_SMALL	2	T-REG (soft)	panel RT-DNA used as coordinate ANCHOR	SPLIT from the withdrawn T-A5b per external review. Direct mapping only. Fixed: msr derivation removed; the 56/64 split belongs to 120 located molecules, NOT to the 81 anchors
T-A5b2-ncrna-architecture	Infer ncRNA coordinate architecture	S08	HELD	A	CPU_MEDIUM	3	T-A5b1	ncRNA catalogue inspected	Opens only if A5b1 yields unambiguous anchors above its floor. Must beat the fixed positional baseline on lineage-blocked held-out anchors
T-A1-absolute-baselines	Absolute baseline ladder for the decoder	S10	DRAFTED	A	CPU_MEDIUM	2	-	PAIR-ELIG inspected	launcher not yet written; decides whether the pairing paper is submittable
T-A6-fixed-locus-carriage	Carriage on a fixed locus set	S01	DRAFTED	A	CPU_SMALL	2	-	Retron loci inspected	launcher not yet written; decides Option A headline framing
T-A10-genomic-architecture	Genomic architecture, architecture half	S06	DRAFTED	A	CPU_MEDIUM	2	-	loci inspected	launcher not yet written; 44.3M CDS rows already landed
T-A3a-rule-and-e0-freeze	Freeze the confirmatory rule and E0	S00	AWAITING_ADOPTION	A	CPU_SMALL	1	-	defines E0; assigns nothing	SPLIT from the withdrawn T-A3. Freezes rule + E0 only. Exact hash interval replaces 'approximately 20%'. FAR is NOT biological independence; continuous nearest-neighbour distances reported alongside. A3b instantiates on a NAMED population, one launcher each
T-A7-stage3a-positive-control	Stage 3A biological positive control	S05	HELD	A	CPU_SMALL	3	-	structure panel inspected	decides whether the structural negative is biology or an artefact
T-A17-core-sensitivity-arm	One arm on the mapper-derived core	S03b	HELD	A	CPU_HIGH	3	T-A16	-	deliverable is the resolvability bound, NOT a tree
T-A19-withheld-model-control	Leave-one-subtype-out CM recovery	S07	HELD	A	CPU_MEDIUM	3	T-A6	Retron loci inspected	the missing positive control for the zero-class argument
T-A20-pair-expansion	Architecture-defined pair expansion	S08b	HELD	A	CPU_MEDIUM	3	T-A5b2	-	the route out of the annotation-lineage circularity
T-A22-functional-contrast	67 producers vs 36 measured non-producers	S04	HELD	A	CPU_SMALL	3	T-A5b1	panel: functional labels, never a training target	the external arm for retron discrimination
S09-coevolution	Ancestry-aware correspondence	S09	CLOSED_CURRENT_EVIDENCE	-	-	-	-	-	No resolvable RT topology; bounded by 157 alignable characters for retrons at 1.39 taxa/char. REOPENS ON: a character source materially exceeding 157 alignable positions, OR restriction to the shallow clades where support recurs with the independent-unit count declared in advance
S07-spire-rerun	De novo discovery as implemented	S07	CLOSED_CURRENT_DESIGN	-	-	-	-	-	A fixed positional interval beats the method 901 to 343; per-type priors reach 969. REOPENS ON: a design that groups loci by an independent relatedness structure, scores against published extents rather than CM cuts, keeps the positional prior as a competing arm, and passes leave-one-subtype-out recovery (see T-A19, T-A24)
T-LINT2-prose-numbers-gated	Numeric-provenance triage linter, control-gated and mutation-tested	S00	VOID_REVIEW_FAILED	A	ZERO	1b	-	none	NEW TASK inheriting T-LINT record. v2.0.0 REJECTED (Codex 01a0bc99) and VOID. v3.0.0 REJECTED (Codex 01a0bcac) and VOID: after the first v3 run failed GATE 1 on M7, the expected catcher was changed post-failure and rerun on an exhausted budget, then recorded as preregistered. That is a criterion fitted to its own failure, and WORKING_RULES section 6 required escalation. AMENDMENT_01 was also not a legitimate instrument: changing a criterion is Tier C, operator only. A Mode-B-promiscuous mutant also survives all 32 controls. Record: VOID_02_second_review_rejected.md. Artifacts preserved, NOT consumable. Successor T-LINT5-prose-numbers-gated is READY_WAITING_OPERATOR
T-LINT5-prose-numbers-gated	Numeric-provenance triage linter, third design	S00	READY_WAITING_OPERATOR	A	ZERO	-	-	none	NEW TASK ID per TASK_PROTOCOL section 4. Spec is the 11 required changes from Codex 01a0bcac, carried verbatim. NOT LAUNCHED: needs explicit operator authorisation (Tier C) AND a separate task session, which the host cannot spawn. Reviewer: if the host cannot, leave the task BLOCKED
T-GATE1-consumption-gate	Implement the consumption gate end-to-end	S00	BLOCKED_DEPENDENCY	A	CPU_SMALL	2	-	none	Launcher frozen, worktree created, dry-run verified. BLOCKED: a gate that reads task reports needs task reports to exist, so T-AUDIT2 must land first (plan review finding B1).
T-AUDIT1-circular-control-sweep	What broken instrument does each blocking control catch	S00	AUTHORIZED	A	ZERO	2	-	none	READY TO DISPATCH: bash programme/launch_task.sh T-AUDIT1-circular-control-sweep | NO_POPULATION_SPEND, no upstream, launcher frozen, worktree created, full dry-run passes. Its DAG edge is SOFT_INTERPRETIVE, not a blocking control: it produces an inventory and nominates, and may not re-classify any task outcome.
