id	statement	claim_id	role	grade	evidence_file	producing_script	commit	unit	denominator	may_enter_a_claim	falsifier
S01	On the 19 Stage-3B Tier-A truth-bearing chains, every independently evidenced catalytic aspartate set lies inside a single frozen Stage-3A unit.	C4	primary	MEASURED	STRUCTURE_STAGE3B_CROSSWALK.tsv	scripts/s02_catalytic_join.py	66dfcb2	chain	19 Tier-A truth-bearing chains	after operator review	one truth set split across two units, or a truth residue outside every unit
S02	Where Stage 3A called a palm-like unit, the catalytic site lies in that unit in 5 of 9 chains; in 9NL3_A it lies in the fingers-like unit.	C4	primary	MEASURED	tables/A_summary.tsv	scripts/s03_catalytic_summary.py	805d4d7	chain	9 in-scope chains with a palm-like CALL	after operator review	a re-join in which the palm-like unit contains the catalytic site in all 9
S03	Where no palm-like unit was called, the catalytic site lies in the unit carrying the most same-sheet strands in 9 of 10 chains (1 target TIED, not broken).	C4	supporting	MEASURED	tables/A_summary.tsv	scripts/s03_catalytic_summary.py	805d4d7	chain	10 in-scope chains without a palm-like CALL	after operator review	the site falling outside the max-same-sheet-strand unit in most such chains
S04	The frozen Stage-3B detector's prediction lies in the same unit as the truth in 19 of 19 chains, including all 6 residue-level misses.	C9	supporting	MEASURED	STRUCTURE_STAGE3B_CROSSWALK.tsv	scripts/s02_catalytic_join.py	66dfcb2	chain	19 Tier-A truth-bearing chains	after operator review	a miss landing in a different unit
S05	Across replicate chains of the same protein, the catalytic-site-containing unit agrees at Jaccard >= 0.70 in 13 of 14 pairs (median 0.897) while the number of units agrees in only 3 of 18 of the same numbering-consistent pairs.	C4	primary	MEASURED	tables/A_replicate_summary.tsv	scripts/s03_catalytic_summary.py	805d4d7	chain pair	14 pairs with a single site unit in both; 18 numbering-consistent pairs	after operator review	site-unit agreement falling to the level of unit-count agreement on a larger replicate set
S06	Catalytic-pair carboxylate separation differs by more than 0.5 A between replicates in 4 of 6 pairs (maximum 2.77 A).	C4	supporting	MEASURED	tables/A_replicate_stability.tsv	scripts/s03_catalytic_summary.py	805d4d7	chain pair	6 pairs with a two-residue truth set in both	after operator review	state-matched replicates showing sub-0.5 A agreement throughout
S07	Applied to the 62 structure chains, the frozen mapper places state blocks with availability SB2p 24/62, SB3 33/62, SB4 37/62, SB56 54/62, SB7 37/62 and CAT_STATE 262 59/62.	C3	supporting	MEASURED	STRUCTURE_STAGE2_CROSSWALK.tsv	scripts/s04_states_join.py	64f7cc6	chain	62 chains	after operator review	a rerun of the frozen instrument giving different availability
S08	Where two state blocks are each contained in a single unit, they are contained in the SAME unit for SB3+SB56 in 28/28 chains and SB56+SB7 in 35/36.	C3	primary	MEASURED	tables/B_split_merge.tsv	scripts/s05_states_summary.py	4f7ee75	chain	chains where both blocks are contained	after operator review	the blocks separating into different units in most chains
S09	CAT_STATE 262 lands exactly 2 residues before the nearest Stage-3B catalytic aspartate in all 17 chains where both instruments commit, and in the same unit in 17 of 19.	C4	primary	MEASURED	tables/B_cat262_vs_3B_truth.tsv	scripts/s05_states_summary.py	4f7ee75	chain	17 chains where both commit; 19 in-scope chains	after operator review	a non-constant offset, which would mean the two instruments are not locating the same motif
S10	RT0 and RT1 carry no frozen states and therefore receive no interval on any structure.	C3	supporting	MEASURED	STRUCTURE_STAGE2_CROSSWALK.tsv	scripts/s04_states_join.py	64f7cc6	chain	62 chains x 2 labels	after operator review	nothing in 3C can change this; only primary historical evidence could
S11	Literature fingers regions coincide with a frozen unit (Jaccard >= 0.70) in 0 of 11 region-chain pairs; palm in 2 of 7; thumb in 3 of 9; the one combined fingers-palm statement coincides (0.713).	C4	primary	MEASURED	tables/C_summary.tsv	scripts/s09_boundary_audit.py	260d3e5	literature region x chain	11 fingers, 7 palm, 9 thumb, 1 combined	after operator review	a larger literature set in which fingers and palm regularly coincide with separate units
S12	Where one source numbers both fingers and palm on a chain, a single unit is the best match for both in 14 of 32 source-chain cases.	C4	supporting	MEASURED	tables/C_summary.tsv	scripts/s09_boundary_audit.py	260d3e5	source x chain	32 source-chain cases numbering both regions	after operator review	fingers and palm best-matching different units in most cases
S13	Two 2026 structure papers on Retron-Eco8 give incompatible fingers/palm/thumb boundaries in the same numbering frame.	C7	supporting	MEASURED	CONTRADICTIONS_AND_UNCERTAINTY.tsv X01; tables/C_literature_boundaries_retrieved.tsv	scripts/s09_boundary_audit.py	260d3e5	paper	2 papers on 1 protein	after operator review	a reading in which the two partitions are reconcilable
