file_label	recovery_state	n_records	n_loci	unit	denominator
MULTI	ILL_POSED	40	40	records	records without a marked RT CDS in that family file
MULTI	RECOVERED	845	845	records	records without a marked RT CDS in that family file
MULTI	SEQUENCE_ONLY	1151	1151	records	records without a marked RT CDS in that family file
RVT-AbiK	RECOVERED	1	1	records	records without a marked RT CDS in that family file
RVT-AbiK	SEQUENCE_ONLY	3	3	records	records without a marked RT CDS in that family file
RVT-AbiP2	ILL_POSED	4	4	records	records without a marked RT CDS in that family file
RVT-AbiP2	RECOVERED	142	142	records	records without a marked RT CDS in that family file
RVT-AbiP2	SEQUENCE_ONLY	131	131	records	records without a marked RT CDS in that family file
RVT-CRISPR	ILL_POSED	2	2	records	records without a marked RT CDS in that family file
RVT-CRISPR	RECOVERED	42	42	records	records without a marked RT CDS in that family file
RVT-CRISPR	SEQUENCE_ONLY	39	39	records	records without a marked RT CDS in that family file
RVT-CRISPR-like	ILL_POSED	2	2	records	records without a marked RT CDS in that family file
RVT-CRISPR-like	RECOVERED	59	59	records	records without a marked RT CDS in that family file
RVT-CRISPR-like	SEQUENCE_ONLY	91	91	records	records without a marked RT CDS in that family file
RVT-DGRs	ILL_POSED	115	115	records	records without a marked RT CDS in that family file
RVT-DGRs	RECOVERED	2281	2281	records	records without a marked RT CDS in that family file
RVT-DGRs	SEQUENCE_ONLY	2578	2578	records	records without a marked RT CDS in that family file
RVT-G2L	RECOVERED	4	4	records	records without a marked RT CDS in that family file
RVT-G2L	SEQUENCE_ONLY	10	10	records	records without a marked RT CDS in that family file
RVT-G2L4	RECOVERED	3	3	records	records without a marked RT CDS in that family file
RVT-G2L4	SEQUENCE_ONLY	6	6	records	records without a marked RT CDS in that family file
RVT-G2Lb	RECOVERED	2	2	records	records without a marked RT CDS in that family file
RVT-G2Lb	SEQUENCE_ONLY	1	1	records	records without a marked RT CDS in that family file
RVT-G2Lc	RECOVERED	22	22	records	records without a marked RT CDS in that family file
RVT-G2Lc	SEQUENCE_ONLY	23	23	records	records without a marked RT CDS in that family file
RVT-GII	ILL_POSED	359	359	records	records without a marked RT CDS in that family file
RVT-GII	RECOVERED	8390	8390	records	records without a marked RT CDS in that family file
RVT-GII	SEQUENCE_ONLY	9981	9981	records	records without a marked RT CDS in that family file
RVT-UG1	RECOVERED	5	5	records	records without a marked RT CDS in that family file
RVT-UG1	SEQUENCE_ONLY	6	6	records	records without a marked RT CDS in that family file
RVT-UG10	ILL_POSED	1	1	records	records without a marked RT CDS in that family file
RVT-UG10	RECOVERED	22	22	records	records without a marked RT CDS in that family file
RVT-UG10	SEQUENCE_ONLY	17	17	records	records without a marked RT CDS in that family file
RVT-UG11	RECOVERED	13	13	records	records without a marked RT CDS in that family file
RVT-UG11	SEQUENCE_ONLY	14	14	records	records without a marked RT CDS in that family file
RVT-UG12	RECOVERED	10	10	records	records without a marked RT CDS in that family file
RVT-UG12	SEQUENCE_ONLY	17	17	records	records without a marked RT CDS in that family file
RVT-UG13	RECOVERED	3	3	records	records without a marked RT CDS in that family file
RVT-UG13	SEQUENCE_ONLY	4	4	records	records without a marked RT CDS in that family file
RVT-UG14	RECOVERED	18	18	records	records without a marked RT CDS in that family file
RVT-UG14	SEQUENCE_ONLY	16	16	records	records without a marked RT CDS in that family file
RVT-UG15	RECOVERED	31	31	records	records without a marked RT CDS in that family file
RVT-UG15	SEQUENCE_ONLY	30	30	records	records without a marked RT CDS in that family file
RVT-UG16	RECOVERED	3	3	records	records without a marked RT CDS in that family file
RVT-UG16	SEQUENCE_ONLY	5	5	records	records without a marked RT CDS in that family file
RVT-UG17	ILL_POSED	1	1	records	records without a marked RT CDS in that family file
RVT-UG17	RECOVERED	45	45	records	records without a marked RT CDS in that family file
RVT-UG17	SEQUENCE_ONLY	46	46	records	records without a marked RT CDS in that family file
RVT-UG19	RECOVERED	4	4	records	records without a marked RT CDS in that family file
RVT-UG19	SEQUENCE_ONLY	5	5	records	records without a marked RT CDS in that family file
RVT-UG2	ILL_POSED	7	7	records	records without a marked RT CDS in that family file
RVT-UG2	RECOVERED	165	165	records	records without a marked RT CDS in that family file
RVT-UG2	SEQUENCE_ONLY	196	196	records	records without a marked RT CDS in that family file
RVT-UG20	SEQUENCE_ONLY	1	1	records	records without a marked RT CDS in that family file
