quantity	landed_value	rederived_value	landed_bundle	landed_table	tolerance	verdict	unit	denominator
distinct RT-anchored records	3051238.0	3051238.0	dbchar_g2_canonical_units	g2_unit_ladder.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
loci	2847312.0	2847312.0	dbchar_g2_canonical_units	g2_unit_ladder.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
physical loci	2475684.0	2475684.0	dbchar_g2_canonical_units	g2_unit_ladder.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact RTs	501561.0	501561.0	dbchar_g2_canonical_units	g2_unit_ladder.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
genomes	1542433.0	1542433.0	dbchar_g2_canonical_units	g2_unit_ladder.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in gem	22271.0	22271.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in gem	22271.0	22271.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in gem	15852.0	15852.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_genomes in gem	13645.0	13645.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in gtdb_archaea	3347.0	3347.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
